The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 11 4 3 18 9 8 17 15 5 6 10;

The sequence of nodes visited by the drone:
set dronedNodes := 0 11 19 3 13 18 7 9 1 17 16 15 2 5 12 10 14;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 670.3552842989233 670.3552842989233 0 1
1 367.7053930770804 367.7053930770804 0 0
2 492.8288245632315 492.8288245632315 0 0
3 194.08591852638932 194.08591852638932 0 1
4 158.8026583829805 158.8026583829805 0 1
5 567.1593045217746 567.1593045217746 0 1
6 615.3841471569384 615.3841471569384 0 1
7 322.1880737385745 322.1880737385745 0 0
8 362.27362827675597 362.27362827675597 0 1
9 355.3909895624441 355.3909895624441 0 1
10 630.9315389552817 630.9315389552817 13.321264606367208 1
11 154.84482560535983 154.84482560535983 0 1
12 598.434662166743 598.434662166743 0 0
13 239.93624776691007 239.93624776691007 0 0
14 643.5023527047213 643.5023527047213 0 0
15 444.1000990058434 444.1000990058434 0 1
16 391.596295857916 391.596295857916 0 0
17 378.43587211223513 378.43587211223513 0 1
18 274.40653574057427 274.40653574057427 0 1
19 174.0744722433238 174.0744722433238 0 0
