The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 3 4 11 12 8 9 2 17 5 13 7 6;

The sequence of nodes visited by the drone:
set dronedNodes := 0 15 4 11 1 9 16 2 19 5 18 13 14 7 6 10;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 670.4575547380629 670.4575547380629 0 1
1 297.00182716980873 297.00182716980873 0 0
2 344.9670351719797 344.9670351719797 0 1
3 65.43584408644382 65.43584408644382 0 1
4 82.98126646147207 82.98126646147207 0 1
5 369.4701049636828 369.4701049636828 0 1
6 609.7368213001668 609.7368213001668 0 1
7 439.10235583952505 439.10235583952505 4.553154635055478 1
8 300.7505534371724 300.7505534371724 0 1
9 320.94708802351624 320.94708802351624 0 1
10 640.5971661542122 640.5971661542122 0 0
11 272.9139029992965 272.9139029992965 0 1
12 288.71421438428456 288.71421438428456 0 1
13 398.83390853979984 398.83390853979984 0 1
14 421.4399272360735 421.4399272360735 0 0
15 45.27569574359434 45.27569574359434 0 0
16 327.00182267085927 327.00182267085927 0 0
17 355.1370826746826 355.1370826746826 0 1
18 389.3731846755008 389.3731846755008 0 0
19 353.2861735770224 353.2861735770224 0 0
