The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 11 10 18 6 2 17 4 3 7 19 1 14;

The sequence of nodes visited by the drone:
set dronedNodes := 0 13 11 8 6 9 2 5 17 12 3 16 14 15;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 633.3587019518143 633.3587019518143 7.02275892939565 1
1 489.9457283274635 489.9457283274635 0 1
2 196.2759985890675 196.2759985890675 0 1
3 447.8980757569898 447.8980757569898 14.16930667044636 1
4 336.2028258052047 336.2028258052047 0 1
5 227.6792459801605 227.6792459801605 0 0
6 142.4713246423781 142.4713246423781 0.9811733580941393 1
7 456.04728586424665 456.04728586424665 0 1
8 120.99512207380788 120.99512207380788 0 0
9 171.07606978875367 171.07606978875367 0 0
10 123.51688539288334 123.51688539288334 0 1
11 78.04649320440102 78.04649320440102 0 1
12 398.72451164279244 398.72451164279244 0 0
13 40.15513646786798 40.15513646786798 0 0
14 519.4133070185584 519.4133070185584 4.046710786477206 1
15 601.3026381847347 601.3026381847347 0 0
16 484.46986465698035 484.46986465698035 0 0
17 269.58096078481657 269.58096078481657 0 1
18 133.6445733993929 133.6445733993929 0 1
19 472.03056003929277 472.03056003929277 0 1
