The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 8 10 7 17 15 5 12 1 16 6 2 4 18;

The sequence of nodes visited by the drone:
set dronedNodes := 0 9 17 19 16 3 6 13 2 14 18 11;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 331.89818572032965 331.89818572032965 6.8502872297765975 1
1 107.70777943855913 107.70777943855913 0 1
2 196.24951373986568 196.24951373986568 0 1
3 151.37712045202574 151.37712045202574 0 0
4 234.15107540967784 234.15107540967784 0 1
5 86.21612041529863 86.21612041529863 0 1
6 173.6906959774519 173.6906959774519 14.024434582113855 1
7 51.857567314745765 51.857567314745765 0 1
8 26.56395991542956 26.56395991542956 0 1
9 26.276829303294882 26.276829303294882 0 0
10 36.00838441779825 36.00838441779825 0 1
11 313.2084815477205 313.2084815477205 0 0
12 104.61134131086249 104.61134131086249 0 1
13 184.5547326039512 184.5547326039512 0 0
14 237.44660510532566 237.44660510532566 0 0
15 72.26364527254569 72.26364527254569 0 1
16 133.49424558505328 133.49424558505328 1.2892851037472042 1
17 61.59484736248118 61.59484736248118 4.2343401855531155 1
18 283.2773120607971 283.2773120607971 0 1
19 105.34870304024346 105.34870304024346 0 0
