The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    44   1    32   89   51   9    13   15   82   97   83   61   60
22   96   62   99   48   3    42   59   65   74   53   16   69   46
39   14   19   31   12   87   98   38   58   26   86   91   21
68   72   47   40   73   28   33   90   79   84   64   5    27;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    68   62   31   73   87   42   13   15   79   84   49   35   76   66
24   93   17   85   52   30   77   81   45   23   10   64   91   69   60
22   44   47   48   51   28   98   59   65   82   97   11   94   56   80
63   8    7    43   88   92   29   70   41   25   50   83   5    21   46
39   1    99   12   3    9    33   90   58   26   53   20   6    57   18
37   78   55   75   67   2    71   36   4    54   86   16   61   27;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (89,95,89) (13,34,13);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 598.6466706018624 598.6466706018624 0 1
1 64.3370305516164 64.3370305516164 0 1
2 221.16075768705247 221.16075768705247 0 0
3 182.51167726748542 182.51167726748542 0.40376988984110085 1
4 328.76033218508337 328.76033218508337 0 0
5 490.3127049624374 490.3127049624374 0 1
6 491.4307389511873 491.4307389511873 0 0
7 94.50835735543116 94.50835735543116 0 0
8 52.28177841902363 52.28177841902363 0 0
9 215.07799515675424 215.07799515675424 0 1
10 377.14520352181216 377.14520352181216 0 0
11 436.55080415641555 436.55080415641555 0 0
12 144.51036488831446 144.51036488831446 0 1
13 263.0810328819849 265.31710085948475 2.23606797749979 1
14 56.26596273975092 56.26596273975092 0 1
15 295.8535634253163 295.8535634253163 0.19214906243337282 1
16 454.17300213808903 454.17300213808903 1.1652007880679776 1
17 80.47921561617237 80.47921561617237 0 0
18 581.7825808310712 581.7825808310712 0 0
19 82.37333695071563 82.37333695071563 0 1
20 449.87183950456773 449.87183950456773 0 0
21 513.8370757955433 513.8370757955433 0 1
22 14.57089234123993 14.57089234123993 0 1
23 342.76033218508337 342.76033218508337 0 0
24 4.759241220074425 4.759241220074425 0 0
25 355.650607972593 355.650607972593 0 0
26 359.73097099954384 359.73097099954384 0 1
27 536.3981041409003 536.3981041409003 0 1
28 204.87995612956868 204.87995612956868 0 1
29 249.59741720374106 249.59741720374106 0 0
30 198.0857055526308 198.0857055526308 0 0
31 113.95957936086099 113.95957936086099 0 1
32 98.66394921987398 98.66394921987398 0 1
33 256.6684850156065 256.6684850156065 1.0660182716672182 1
34 264.19906687073484 264.19906687073484 0 0
35 458.4450040107478 458.4450040107478 0 0
36 291.3814274703167 291.3814274703167 0 0
37 30.544303954768324 30.544303954768324 0 0
38 282.5075840207192 282.5075840207192 0 1
39 26.73641740183637 26.73641740183637 0 1
40 117.56513063632498 117.56513063632498 0 1
41 315.1559110595474 315.1559110595474 0 0
42 226.4758305934198 226.4758305934198 0.21749554916661396 1
43 137.29082043102156 137.29082043102156 0 0
44 45.78177841902363 45.78177841902363 0 1
45 305.3667122205365 305.3667122205365 0 0
46 575.6793030232043 575.6793030232043 0 1
47 91.59288140800851 91.59288140800851 0 1
48 135.29082043102156 135.29082043102156 0 1
49 426.87702127657616 426.87702127657616 0 0
50 400.32841771394595 400.32841771394595 0 0
51 167.34308431741093 167.34308431741093 0 1
52 163.13488038491155 163.13488038491155 0 0
53 410.5967389668846 410.5967389668846 0 1
54 366.74880542335296 366.74880542335296 0 0
55 106.49237634462017 106.49237634462017 0 0
56 503.18796515486986 503.18796515486986 0 0
57 522.15873428409 522.15873428409 0 0
58 324.4883303124246 324.4883303124246 0 1
59 273.56331211072006 273.56331211072006 0 1
60 568.9710990907049 568.9710990907049 0 1
61 494.784840917437 494.784840917437 0 1
62 73.771011683673 73.771011683673 0 1
63 19.495321242137983 19.495321242137983 0 0
64 432.7429176034836 432.7429176034836 0 1
65 309.4550339340517 309.4550339340517 0 1
66 545.3981041409003 545.3981041409003 0 0
67 187.82675017385276 187.82675017385276 0 0
68 37.78177841902363 37.78177841902363 0 1
69 501.18796515486986 501.18796515486986 0 1
70 281.179085216584 281.179085216584 0 0
71 258.4712606533385 258.4712606533385 0 0
72 57.26596273975092 57.26596273975092 0 1
73 160.63488038491155 160.63488038491155 0 1
74 355.4883303124246 355.4883303124246 0 1
75 152.572622636613 152.572622636613 0 0
76 499.02748160455627 499.02748160455627 0 0
77 231.08560282206625 231.08560282206625 0 0
78 70.66158587195315 70.66158587195315 0 0
79 338.4883303124246 338.4883303124246 0 1
80 571.0924194342646 571.0924194342646 0 0
81 269.8447934285535 269.8447934285535 0 0
82 352.4883303124246 352.4883303124246 0 1
83 440.3586907093475 440.3586907093475 0 1
84 373.94364140309574 373.94364140309574 0 1
85 119.05859887445376 119.05859887445376 0 0
86 425.46280771420305 425.46280771420305 0 1
87 195.39312314906354 195.39312314906354 0.07519740671241948 1
88 174.44941951918688 174.44941951918688 0 0
89 120.72740829649337 124.85051392211102 4.123105625617661 1
90 289.5786518325847 289.5786518325847 0 1
91 469.6971768343491 469.6971768343491 0 1
92 207.9213373947178 207.9213373947178 0 0
93 41.68690325697696 41.68690325697696 0 0
94 478.6414487443482 478.6414487443482 0 0
95 122.78896110930219 122.78896110930219 0 0
96 51.16694322615813 51.16694322615813 0 1
97 381.94364140309574 381.94364140309574 0 1
98 243.9405629542487 243.9405629542487 0.9723098583582441 1
99 103.66394921987398 103.66394921987398 0 1
