The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    44   17   40   73   28   33   15   79   10   64   57   69
22   14   99   89   51   9    13   65   82   97   83   6    27
39   72   55   48   3    42   59   45   26   53   16   5    60
68   8    31   12   87   98   90   58   84   86   20   61   46;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    68   1    85   43   88   92   29   70   41   25   78   49   91   76   80
24   93   8    55   12   3    9    33   90   45   82   97   64   57   69   46
22   44   19   32   75   67   2    71   36   4    74   62   11   21   56   18
63   96   17   89   73   87   42   13   15   58   26   53   83   6    27
39   14   47   95   52   30   77   81   38   23   54   50   35   94   66
37   72   99   48   51   28   98   59   65   79   84   86   20   61   60;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (13,34,13) (10,7,10);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 600.6294032747828 600.6294032747828 0 1
1 59.53685678224926 59.53685678224926 0 0
2 207.72987741984156 207.72987741984156 0 0
3 169.08079700027452 169.08079700027452 0.40376988984110085 1
4 305.9795259170319 305.9795259170319 0 0
5 492.33456583125025 492.33456583125025 0 1
6 490.0984978537505 490.0984978537505 0 1
7 371.9579006567396 371.9579006567396 0 0
8 67.70602278703615 67.70602278703615 0 1
9 201.64711488954333 201.64711488954333 0 1
10 368.9579006567396 374.9579006567396 6 1
11 437.82338346908625 437.82338346908625 0 0
12 131.07948462110355 131.07948462110355 0 1
13 249.65015261477407 251.88622059227384 2.23606797749979 1
14 55.00132287631652 55.00132287631652 0 1
15 281.4055280722214 281.4055280722214 0.19214906243337282 1
16 454.28038066269175 454.28038066269175 0 1
17 76.30834805407878 76.30834805407878 0 1
18 583.7653135039916 583.7653135039916 0 0
19 70.86830044720453 70.86830044720453 0 0
20 462.88270592973436 462.88270592973436 0 1
21 483.28741039187554 483.28741039187554 0 0
22 14.57089234123993 14.57089234123993 0 1
23 323.02804919728345 323.02804919728345 0 0
24 4.759241220074425 4.759241220074425 0 0
25 337.6837777043763 337.6837777043763 0 0
26 348.34210601575484 348.34210601575484 0 1
27 538.3808368138207 538.3808368138207 0 1
28 191.44907586235777 191.44907586235777 0 1
29 236.16653693653015 236.16653693653015 0 0
30 184.6548252854199 184.6548252854199 0 0
31 104.65180471926772 104.65180471926772 0 1
32 99.67124748464803 99.67124748464803 0 0
33 243.23760474839563 243.23760474839563 1.0660182716672466 1
34 250.76818660352396 250.76818660352396 0 0
35 451.2359563781675 451.2359563781675 0 0
36 276.9333921172218 276.9333921172218 0 0
37 30.544303954768324 30.544303954768324 0 0
38 283.4670808850302 283.4670808850302 0 0
39 26.73641740183637 26.73641740183637 0 1
40 108.25735599473171 108.25735599473171 0 1
41 300.7078757064525 300.7078757064525 0 0
42 213.0449503262089 213.0449503262089 0.21749554916661396 1
43 123.85994016381065 123.85994016381065 0 0
44 45.78177841902363 45.78177841902363 0 1
45 302.8172482568635 302.8172482568635 0 1
46 577.6620356961247 577.6620356961247 0 1
47 79.94840299871903 79.94840299871903 0 0
48 121.85994016381065 121.85994016381065 0 1
49 428.14960058924686 428.14960058924686 0 0
50 416.0349197473574 416.0349197473574 0 0
51 153.91220405020002 153.91220405020002 0 1
52 149.70400011770064 149.70400011770064 0 0
53 410.0141224579612 410.0141224579612 0 1
54 355.35994043956396 355.35994043956396 0 0
55 94.35617457828072 94.35617457828072 0.2254472141131174 1
56 505.2098260236827 505.2098260236827 0 0
57 474.9657519033289 474.9657519033289 0 1
58 313.63390208325546 313.63390208325546 0 1
59 260.13243184350915 260.13243184350915 0 1
60 570.9538317636253 570.9538317636253 0 1
61 496.80670178624985 496.80670178624985 0 1
62 388.97679800003635 388.97679800003635 0 0
63 19.495321242137983 19.495321242137983 0 0
64 434.0154969161543 434.0154969161543 0 1
65 295.0069985809568 295.0069985809568 0 1
66 547.3808368138207 547.3808368138207 0 0
67 174.39586990664185 174.39586990664185 0 0
68 37.78177841902363 37.78177841902363 0 1
69 503.2098260236827 503.2098260236827 0 1
70 267.7482049493731 267.7482049493731 0 0
71 245.04038038612762 245.04038038612762 0 0
72 56.00132287631652 56.00132287631652 0 1
73 147.20400011770064 147.20400011770064 0 1
74 343.13390208325546 343.13390208325546 0 0
75 139.1417423694021 139.1417423694021 0 0
76 501.0493424733691 501.0493424733691 0 0
77 217.65472255485534 217.65472255485534 0 0
78 371.5686546079667 371.5686546079667 0 0
79 327.63390208325546 327.63390208325546 0 1
80 573.075152107185 573.075152107185 0 0
81 256.4139131613426 256.4139131613426 0 0
82 341.63390208325546 341.63390208325546 0 1
83 441.6312700220182 441.6312700220182 0 1
84 362.55477641930673 362.55477641930673 0 1
85 92.77503574819653 92.77503574819653 0 0
86 426.73538702687375 426.73538702687375 1.8551958215940658 1
87 181.96224288185263 181.96224288185263 0.07519740671241948 1
88 161.01853925197597 161.01853925197597 0 0
89 111.4196336549001 111.4196336549001 0 1
90 275.1306164794898 275.1306164794898 1.9597798255753105 1
91 466.9138348038836 466.9138348038836 0 0
92 194.4904571275069 194.4904571275069 0 0
93 41.68690325697696 41.68690325697696 0 0
94 492.33456583125025 492.33456583125025 0 0
95 113.48118646770892 113.48118646770892 0 0
96 48.47436082259088 48.47436082259088 0 0
97 381.36102489417243 381.36102489417243 0 1
98 230.50968268703778 230.50968268703778 0.9723098583582441 1
99 88.47387311467521 88.47387311467521 0 1
