The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    41   36   27   9    45   90   80   78   38   62   46   3    74
50   95   97   31   87   65   57   99   22   2    79   89   7    94
10   6    5    30   47   60   54   61   28   75   17   20   98
52   73   53   35   32   69   68   11   92   33   16   12   83;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    95   36   27   35   21   43   63   70   4    1    64   79   46   12   26
91   59   84   77   71   32   69   54   99   78   92   75   15   96   3    83
10   6    97   31   9    42   18   56   55   19   51   58   17   89   44   34
67   66   8    13   39   65   90   68   61   22   38   33   48   86   7    94
41   73   5    30   87   37   85   40   14   49   25   82   16   20   24   29
88   23   81   76   47   60   57   80   11   28   2    62   93   72   98;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 642.1095351574908 642.1095351574908 0 1
1 422.3908629532738 422.3908629532738 0 0
2 452.9616295248459 452.9616295248459 0 1
3 553.1490960149412 553.1490960149412 0 1
4 381.9108177730053 381.9108177730053 0 0
5 133.6546729660957 133.6546729660957 0 1
6 59.29522981918974 59.29522981918974 0 1
7 571.5338723257914 571.5338723257914 0 1
8 130.26950815896117 130.26950815896117 0 0
9 210.2820964099644 210.2820964099644 0 1
10 14.662515604382271 14.662515604382271 0 1
11 373.8485600247068 373.8485600247068 0.630435398152656 1
12 547.066333484643 547.066333484643 0 1
13 182.09759827275147 182.09759827275147 0 0
14 369.23878779606036 369.23878779606036 0 0
15 489.0489670932943 489.0489670932943 0 0
16 505.76454371386563 505.76454371386563 0 1
17 494.76454371386563 494.76454371386563 0 1
18 287.8466237980508 287.8466237980508 0 0
19 390.8998102116924 390.8998102116924 0 0
20 534.9832875110484 534.9832875110484 0 1
21 243.39428730960424 243.39428730960424 0 0
22 403.3908629532738 403.3908629532738 0 1
23 74.99814670370243 74.99814670370243 0 0
24 576.5588101363519 576.5588101363519 0 0
25 450.54219904246247 450.54219904246247 0 0
26 590.2157364660634 590.2157364660634 0 0
27 165.09759827275147 165.09759827275147 0 1
28 418.3908629532738 418.3908629532738 0 1
29 624.3822339442713 624.3822339442713 0 0
30 193.75950206244207 193.75950206244207 2.1016840111295494 1
31 177.09759827275147 177.09759827275147 0 1
32 247.81649011326252 247.81649011326252 0 1
33 474.55049085899174 474.55049085899174 0 1
34 602.7158646957223 602.7158646957223 0 0
35 203.95754108962763 203.95754108962763 0 1
36 81.69698407018112 81.69698407018112 0 1
37 269.05311478957134 269.05311478957134 0 0
38 446.63707420450913 446.63707420450913 0 1
39 221.46243629746334 221.46243629746334 0 0
40 337.70764394452345 337.70764394452345 0 0
41 32.211606333185955 32.211606333185955 0 1
42 256.8303683019225 256.8303683019225 0 0
43 284.2585432612556 284.2585432612556 0 0
44 562.0933679249404 562.0933679249404 0 0
45 251.4220413887265 251.4220413887265 0 1
46 517.7853410032618 517.7853410032618 2.1719394876000706 1
47 239.75423236496397 239.75423236496397 0 1
48 500.46542083936134 500.46542083936134 0 0
49 405.45241576608265 405.45241576608265 0 0
50 5.175682623877133 5.175682623877133 0 1
51 439.972001783358 439.972001783358 0 0
52 24.14934858488741 24.14934858488741 0 1
53 162.09759827275147 162.09759827275147 0 1
54 322.9648683157187 322.9648683157187 0 1
55 356.9119404101878 356.9119404101878 0 0
56 326.604923260359 326.604923260359 0 0
57 312.9149926945978 312.9149926945978 0 1
58 465.53527594838846 465.53527594838846 0 0
59 50.71417059039506 50.71417059039506 0 0
60 279.7308506921869 279.7308506921869 0 1
61 361.17653004776184 361.17653004776184 0 1
62 483.98447199104834 483.98447199104834 0 1
63 315.9563739597469 315.9563739597469 0 0
64 456.9616295248459 456.9616295248459 0 0
65 261.62008041591207 261.62008041591207 0 1
66 67.1054794950964 67.1054794950964 0 0
67 21.16251560438227 21.16251560438227 0 0
68 337.0005371633369 337.0005371633369 0 1
69 287.3466237980508 287.3466237980508 0 1
70 341.0620899761457 341.0620899761457 0 0
71 208.2295429622864 208.2295429622864 0 0
72 542.5496604862592 542.5496604862592 0 0
73 70.69698407018112 70.69698407018112 0 1
74 613.3822339442713 613.3822339442713 0 1
75 462.1811739821388 462.1811739821388 0 1
76 199.25950206244207 199.25950206244207 0 0
77 168.6331321786842 168.6331321786842 0 0
78 386.6278083390336 386.6278083390336 0.24928422818516083 1
79 486.2205399685481 486.2205399685481 0 1
80 339.0005371633369 339.0005371633369 0 1
81 140.76100816787164 140.76100816787164 0 0
82 476.35326649672373 476.35326649672373 0 0
83 600.6543118829135 600.6543118829135 0 1
84 107.19208163814504 107.19208163814504 0 0
85 306.650010651527 306.650010651527 0 0
86 532.5281166320666 532.5281166320666 0 0
87 235.2820964099644 235.2820964099644 0 1
88 39.211606333185955 39.211606333185955 0 0
89 531.82100985088 531.82100985088 0 1
90 300.38502860845614 300.38502860845614 0 1
91 10.007899984439106 10.007899984439106 0 0
92 438.3908629532738 438.3908629532738 0 1
93 511.76454371386563 511.76454371386563 0 0
94 615.3822339442713 615.3822339442713 0 1
95 42.65191284209651 42.65191284209651 0 1
96 521.3908922787258 521.3908922787258 0 0
97 128.26950815896117 128.26950815896117 0 1
98 578.813982215072 578.813982215072 0 1
99 346.6163102692008 346.6163102692008 0 1
