The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    41   47   46   28   17   85   15   70   69   53   3    80   23   75
87   52   95   96   56   24   35   16   71   42   12   82   98   63
5    30   31   54   20   99   44   61   67   90   84   40   1    10
89   68   14   57   92   8    4    76   36   93   60   62   27   9;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    52   47   46   28   17   97   4    70   69   53   3    62   23   9
38   51   59   18   94   91   85   74   72   49   73   33   7    19   34
89   30   95   96   56   24   39   15   71   42   84   82   1    63   75
45   11   79   29   22   99   35   50   77   13   66   58   6    2    55
41   68   14   57   92   83   44   61   36   93   60   40   27   10
48   26   37   81   65   8    32   64   88   21   78   86   25   43;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 575.5711197707777 575.5711197707777 0 1
1 494.8099865276888 494.8099865276888 0 1
2 526.4285257685804 526.4285257685804 0 0
3 435.5379470178005 435.5379470178005 0 1
4 273.4804084887602 273.4804084887602 0 1
5 15.342627764281023 15.342627764281023 0 1
6 501.8278209514979 501.8278209514979 0 0
7 481.7970091650177 481.7970091650177 0 0
8 222.0589730290315 222.0589730290315 0 1
9 551.4053377626808 551.4053377626808 0 1
10 531.3055865204391 531.3055865204391 0 1
11 64.64914068301934 64.64914068301934 0 0
12 413.9779020019374 413.9779020019374 0 1
13 393.4919282273174 393.4919282273174 0 0
14 137.42595169372422 137.42595169372422 0 1
15 284.252410361419 284.252410361419 1.827729962659646 1
16 298.1807986386031 298.1807986386031 0 1
17 198.9810312096244 198.9810312096244 0 1
18 146.58437102501242 146.58437102501242 0 0
19 519.6974331963743 519.6974331963743 0 0
20 177.15258770020858 177.15258770020858 0 1
21 402.0318055016897 402.0318055016897 0 0
22 181.7683608060725 181.7683608060725 0 0
23 518.9903264151877 518.9903264151877 0 1
24 207.04328895792295 207.04328895792295 0 1
25 515.243020901348 515.243020901348 0 0
26 90.30623569260464 90.30623569260464 0 0
27 507.8099865276888 507.8099865276888 0 1
28 167.0815198883431 167.0815198883431 0 1
29 153.11888563909463 153.11888563909463 0 0
30 60.64914068301935 60.64914068301935 0 1
31 129.36369394542567 129.36369394542567 0 1
32 260.52306615554954 260.52306615554954 0 0
33 437.5379470178005 437.5379470178005 0 0
34 557.9053377626808 557.9053377626808 0 0
35 252.45604628320444 252.45604628320444 0 1
36 356.3493185187693 356.3493185187693 0 1
37 140.34142764114688 140.34142764114688 0 0
38 11.273381247975731 11.273381247975731 0 0
39 244.97580146074898 244.97580146074898 0 0
40 457.91676890573825 457.91676890573825 0 1
41 31.381032574686323 31.381032574686323 0 1
42 384.7598036290309 384.7598036290309 0 1
43 538.2518085151639 538.2518085151639 0 0
44 254.69211426070424 254.69211426070424 0 1
45 28.05087168375482 28.05087168375482 0 0
46 143.382808906296 143.382808906296 0.9568572125717765 1
47 97.77315909576677 97.77315909576677 0 1
48 40.22693558116339 40.22693558116339 0 0
49 375.22744023394637 375.22744023394637 0 0
50 292.39182065946886 292.39182065946886 0 0
51 51.927812706659076 51.927812706659076 0 0
52 46.22693558116339 46.22693558116339 1.8459030064770658 1
53 406.3621288960735 406.3621288960735 0 1
54 156.28482861300677 156.28482861300677 0 1
55 565.3070920136722 565.3070920136722 0 0
56 174.15258770020858 174.15258770020858 0 1
57 162.60938393334354 162.60938393334354 0 1
58 451.6034450098749 451.6034450098749 0 0
59 100.00922707326656 100.00922707326656 0 0
60 426.59367510780135 426.59367510780135 0 1
61 307.1807986386031 307.1807986386031 0 1
62 476.2743286564241 476.2743286564241 0 1
63 521.8187535399339 521.8187535399339 0 1
64 311.21192751275237 311.21192751275237 0 0
65 189.79329861663297 189.79329861663297 0 0
66 423.09367510780135 423.09367510780135 0 0
67 351.8771825637697 351.8771825637697 0 1
68 82.73986271739386 82.73986271739386 0 1
69 370.61766800529995 370.61766800529995 0.6668789777952497 1
70 317.3919011895311 317.3919011895311 0 1
71 343.3919011895311 343.3919011895311 0 1
72 331.900519318078 331.900519318078 0 0
73 411.2865577969716 411.2865577969716 0 0
74 277.752410361419 277.752410361419 0 0
75 562.8070920136722 562.8070920136722 0 1
76 310.1807986386031 310.1807986386031 0 1
77 348.0016734181775 348.0016734181775 0 0
78 428.6552279206102 428.6552279206102 0 0
79 125.67777935498371 125.67777935498371 0 0
80 482.5988839767608 482.5988839767608 0 1
81 164.41215957107553 164.41215957107553 0 0
82 448.06791110394215 448.06791110394215 0 1
83 213.95750252029606 213.95750252029606 0 0
84 421.59367510780135 421.59367510780135 0 1
85 234.4282899058845 234.4282899058845 0 1
86 468.5469147184729 468.5469147184729 0 0
87 9.018072443944263 9.018072443944263 0 1
88 361.7576454319653 361.7576454319653 0 0
89 18.342627764281023 18.342627764281023 0 1
90 385.7598036290309 385.7598036290309 0 1
91 203.10413683524206 203.10413683524206 0 0
92 184.7683608060725 184.7683608060725 0 1
93 397.7598036290309 397.7598036290309 0 1
94 169.6310296451395 169.6310296451395 0 0
95 119.31381832430479 119.31381832430479 0 1
96 149.2137608011413 149.2137608011413 0 1
97 228.16225083689835 228.16225083689835 0 0
98 487.5988839767608 487.5988839767608 0 1
99 208.45750252029606 208.45750252029606 0 1
