The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    98   82   28   73   24   19   62   67   31   30   3    95   87
51   57   13   48   96   34   94   14   43   74   47   69   89   38
6    91   68   29   25   60   79   93   66   35   21   41   26   7
46   72   27   12   53   65   22   9    81   76   33   63   80   56;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    46   72   68   48   73   24   65   22   9    66   47   64   84   50   56
86   98   52   70   85   23   15   36   40   10   77   83   69   89   87   54
51   49   82   27   29   96   34   19   62   67   74   21   4    39   38
32   57   88   16   42   37   18   55   97   17   99   33   41   26   90
6    2    13   28   12   25   60   94   93   43   76   1    75   11   7
59   91   20   8    45   44   61   78   58   71   5    3    95   80   92;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 529.7367079570715 529.7367079570715 0 1
1 388.03132823039044 388.03132823039044 0 0
2 49.731995852005845 49.731995852005845 0 0
3 389.23895790858546 389.23895790858546 0 0.9999997576273996
4 398.4102829500407 398.4102829500407 0 2.423726004878942e-07
5 354.5192114259343 354.5192114259343 0 0
6 25.163293688330548 25.163293688330548 0 1
7 504.1710915157651 504.1710915157651 0 1
8 109.36133170608889 109.36133170608889 0 0
9 270.7937922635539 270.7937922635539 0 1
10 272.37493109363805 272.37493109363805 0 0
11 447.38516697557634 447.38516697557634 0 0
12 137.20748534992134 137.20748534992134 0.2830094339716993 1
13 83.02853817937982 83.02853817937982 0 1
14 250.56202679953952 250.56202679953952 0 1
15 171.0917929081217 171.0917929081217 0 0
16 101.28364447562532 101.28364447562532 0 0
17 285.7904651358435 285.7904651358435 0 0
18 185.01814399544585 185.01814399544585 0 0
19 215.43906831218905 215.43906831218905 2.842170943040401e-14 1
20 85.72112058294708 85.72112058294708 0 0
21 381.9535746227994 381.9535746227994 0 1
22 232.80846184985288 232.80846184985288 0 1
23 147.82081412037405 147.82081412037405 0 0
24 167.28390635518974 167.28390635518974 3.2629275292414377 1
25 157.22160045644068 157.22160045644068 0.708203932499373 1
26 441.5328170202165 441.5328170202165 0 1
27 97.01164260296656 97.01164260296656 1.6729823590659834 1
28 104.88919575108932 104.88919575108932 0.5974432588422331 1
29 127.49049478389304 127.49049478389304 0 1
30 353.86635264459795 353.86635264459795 0 1
31 312.67788515409916 312.67788515409916 0 1
32 17.56651030124329 17.56651030124329 0 0
33 385.1158522829678 385.1158522829678 0 0.9999997562940662
34 176.50345081248264 176.50345081248264 0 1
35 329.87583166188574 329.87583166188574 0 1
36 212.08496634593936 212.08496634593936 0 0
37 153.867498490191 153.867498490191 0 0
38 481.6988864615209 481.6988864615209 0 1
39 434.8995493546202 434.8995493546202 0 0
40 236.80846184985288 236.80846184985288 0 0
41 406.3505894589513 406.3505894589513 0 0.9999997592940661
42 132.49049478389304 132.49049478389304 0 0
43 291.68801108253723 291.68801108253723 0 1
44 163.92980438894006 163.92980438894006 0 0
45 138.78862418000554 138.78862418000554 0 0
46 31.871497620829917 31.871497620829917 0 1
47 372.1047168210033 372.1047168210033 11.027261625477365 1
48 113.8890242751576 113.8890242751576 0.39750325702564737 1
49 40.324619100672386 40.324619100672386 0 0
50 463.55326614218194 463.55326614218194 0 0
51 12.956738072596847 12.956738072596847 0 1
52 72.59801495732943 72.59801495732943 0 0
53 162.6067652635752 162.6067652635752 0 1
54 520.883761919317 520.883761919317 0 0
55 216.93906831218905 216.93906831218905 0 0
56 518.383761919317 518.383761919317 0 1
57 48.15085702192165 48.15085702192165 0 1
58 258.1610463131323 258.1610463131323 0 0
59 28.768844963794535 28.768844963794535 0 0
60 189.29014586810462 189.29014586810462 3.5671505983290785 1
61 200.95204965779521 200.95204965779521 0 0
62 243.85382286704015 243.85382286704015 0 1
63 413.9663625648152 413.9663625648152 0 0.9999997576274067
64 391.3005107213943 391.3005107213943 0 0
65 206.49479640218988 206.49479640218988 0 1
66 300.9075555398301 300.9075555398301 0 1
67 280.64265006535 280.64265006535 0 1
68 90.2396407303078 90.2396407303078 0 1
69 395.9102829500407 395.9102829500407 0.34676972111850546 0.9999997592940661
70 92.7396407303078 92.7396407303078 0 0
71 297.18801108253723 297.18801108253723 0 0
72 69.90543255376217 69.90543255376217 0 1
73 143.91568928242071 143.91568928242071 0 1
74 326.71355400171734 326.71355400171734 0 1
75 408.58665743645105 408.58665743645105 0 2.407059338212275e-07
76 344.81096750646054 344.81096750646054 0.06906709725632254 1
77 314.4168116259364 314.4168116259364 0 0
78 224.6393304282809 224.6393304282809 0 0
79 225.7373940379874 225.7373940379874 0 1
80 460.6377901947593 460.6377901947593 0 1
81 311.67788515409916 311.67788515409916 0 1
82 74.02853817937982 74.02853817937982 0 1
83 375.6047168210033 375.6047168210033 0 0
84 425.1958033922088 425.1958033922088 0 0
85 120.85321841374966 120.85321841374966 0 0
86 2.519146778234402 2.519146778234402 0 0
87 480.2846728991478 480.2846728991478 0 1
88 77.63408945484382 77.63408945484382 0 0
89 429.4912224414242 429.4912224414242 0 1
90 484.9004485802373 484.9004485802373 0 0
91 59.85555693264128 59.85555693264128 0 1
92 513.7757778719144 513.7757778719144 0 0
93 255.66104631313232 255.66104631313232 0 1
94 217.67513628968885 217.67513628968885 0 1
95 418.08946819043285 418.08946819043285 0 1
96 150.5133965239413 150.5133965239413 2.5977072415205953 1
97 248.85382286704015 248.85382286704015 0 0
98 36.9705171344227 36.9705171344227 0 1
99 338.31096750646054 338.31096750646054 0 0
