The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    8    60   17   85   41   49   54   33   90   93   31   59   14
22   81   24   11   56   45   39   87   28   94   46   92   51
44   50   34   84   74   25   4    58   53   35   99   15   32
88   26   66   62   6    86   71   80   42   78   77   36   7;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    72   26   75   67   74   18   89   58   98   57   46   92   51
23   8    48   66   62   76   86   71   47   53   35   1    82   64
22   40   60   63   43   6    49   38   80   19   3    99   15   32
91   81   61   17   85   41   30   54   55   42   78   96   79   7
44   27   24   11   5    69   39   73   33   90   29   77   36   95
21   50   13   16   56   45   65   87   52   9    93   31   59   14
88   70   34   84   20   25   4    83   28   94   10   68   37   97;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (39,2,39) (42,12,42);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 663.6284003751232 663.6284003751232 0 1
1 519.6429932707422 519.6429932707422 0 0
2 234.51049957058598 234.51049957058598 0 0
3 462.63670070209525 462.63670070209525 0 0
4 244.49733255109112 244.49733255109112 0 1
5 172.2500725855882 172.2500725855882 0 0
6 196.02812335162048 196.02812335162048 0 1
7 621.6077917415655 621.6077917415655 0 1
8 54.357742359444686 54.357742359444686 0 1
9 423.5261183082156 423.5261183082156 0 0
10 509.41086703440925 509.41086703440925 0 0
11 142.93278213757654 142.93278213757654 0 1
12 391.63192465351494 391.63192465351494 0 0
13 107.1806205033102 107.1806205033102 0 0
14 637.639011283447 637.639011283447 0 1
15 559.7334466839117 559.7334466839117 0.7467341190643992 1
16 145.16885011507634 145.16885011507634 0 0
17 130.89118755878425 130.89118755878425 0 1
18 215.2781484913628 215.2781484913628 0 0
19 378.3420431330032 378.3420431330032 0 0
20 176.8265638081297 176.8265638081297 0 0
21 23.994714666970502 23.994714666970502 0 0
22 7.115916721304452 7.115916721304452 0 1
23 3.5056657799389654 3.5056657799389654 0 0
24 103.37273395037823 103.37273395037823 0 1
25 212.2367672262137 212.2367672262137 0 1
26 89.32687616600369 89.32687616600369 0 1
27 68.0928861250226 68.0928861250226 0 0
28 353.18896361267457 353.18896361267457 0 1
29 479.0073572592096 479.0073572592096 0 0
30 227.50462418924496 227.50462418924496 0 0
31 538.3811612893833 538.3811612893833 0 1
32 620.1935781791924 620.1935781791924 0 1
33 330.8282838376767 330.8282838376767 0 1
34 116.37273395037823 116.37273395037823 0 1
35 457.13670070209525 457.13670070209525 0 1
36 576.0122672800114 576.0122672800114 0 1
37 591.5349477886051 591.5349477886051 0 0
38 266.20662682181506 266.20662682181506 0 0
39 234.01049957058598 235.01049957058598 1 1
40 57.520020019613064 57.520020019613064 0 0
41 197.02812335162048 197.02812335162048 0 1
42 386.0417547097655 397.2220945972644 11.180339887498949 1
43 161.78163993937264 161.78163993937264 0 0
44 15.718241988347078 15.718241988347078 0 1
45 203.7514858519751 203.7514858519751 0.39880718001785453 1
46 517.1429932707422 517.1429932707422 0 1
47 311.99287850333747 311.99287850333747 0 0
48 90.32687616600369 90.32687616600369 0 0
49 224.95511443244857 224.95511443244857 0 1
50 74.56205310577029 74.56205310577029 0 1
51 600.7770903402449 600.7770903402449 0 1
52 345.903097269358 345.903097269358 0 0
53 370.9090087593439 370.9090087593439 0 1
54 285.01345167823644 285.01345167823644 0 1
55 326.2572160258112 326.2572160258112 0 0
56 175.41235024575658 175.41235024575658 1.3785026285670483 1
57 443.1219887404236 443.1219887404236 0 0
58 308.49287850333747 308.49287850333747 1.8388900773107366 1
59 586.0122672800114 586.0122672800114 0 1
60 92.93242744146768 92.93242744146768 0 1
61 96.837552279421 96.837552279421 0 0
62 158.78163993937264 158.78163993937264 0 1
63 125.14249069568643 125.14249069568643 0 0
64 607.5778255946126 607.5778255946126 0 0
65 239.31166220410728 239.31166220410728 0 0
66 123.0809378828776 123.0809378828776 0 1
67 155.4742223429399 155.4742223429399 0 0
68 542.4122901635326 542.4122901635326 0 0
69 199.94359929904314 199.94359929904314 0 0
70 78.80469379288958 78.80469379288958 0 0
71 265.08859283306515 265.08859283306515 0 1
72 38.786028544531526 38.786028544531526 0 0
73 288.21501379695286 288.21501379695286 0 0
74 183.02812335162048 183.02812335162048 0 1
75 118.37273395037823 118.37273395037823 0 0
76 187.74511391764878 187.74511391764878 0 0
77 536.3811612893833 536.3811612893833 0 1
78 467.33473972928084 467.33473972928084 0 1
79 566.0974077145906 566.0974077145906 0 0
80 323.7572160258112 323.7572160258112 0 1
81 63.79172349150129 63.79172349150129 0 1
82 557.9306710461797 557.9306710461797 0 0
83 304.02074254833786 304.02074254833786 0 0
84 152.78163993937264 152.78163993937264 0 1
85 167.32564368469016 167.32564368469016 0 1
86 220.482978477449 220.482978477449 0 1
87 297.2200072939701 297.2200072939701 0 1
88 38.07892176334498 38.07892176334498 0 1
89 253.71687700838402 253.71687700838402 0 0
90 418.8091277421873 418.8091277421873 0 1
91 10.157297986453562 10.157297986453562 0 0
92 555.3811612893833 555.3811612893833 0 1
93 499.11523689342226 499.11523689342226 0 1
94 442.0039547516737 442.0039547516737 0 1
95 625.4156782944974 625.4156782944974 0 0
96 528.7756261041396 528.7756261041396 0 0
97 642.3824277736995 642.3824277736995 0 0
98 357.66109956767417 357.66109956767417 0 0
99 523.8511972032416 523.8511972032416 0 1
