The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    52   39   65   30   9    42   62   31   28   24   27   17   54
46   94   85   69   92   10   21   97   29   82   75   61   47
32   78   51   67   76   63   56   95   5    36   64   19   43
60   58   87   88   98   59   74   45   89   68   22   2    70;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    52   4    87   79   1    63   16   20   5    57   96   61   47
46   50   39   3    88   98   26   56   95   53   36   64   80   93
44   94   66   65   18   91   59   7    25   89   40   83   19   43
32   77   85   34   30   9    38   74   45   6    68   22   90   8
11   78   23   69   92   73   42   62   31   28   24   48   2    70
60   13   51   37   14   10   55   99   29   71   12   27   17   81
41   58   15   67   76   86   21   97   84   82   75   33   72   54;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (45,49,45) (19,35,19);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 666.2398631670692 666.2398631670692 0 1
1 209.61009806540744 209.61009806540744 0 0
2 591.8232958303448 591.8232958303448 0.870932254519289 1
3 141.5332919187272 141.5332919187272 0 0
4 90.42495036850345 90.42495036850345 0 0
5 456.66411441626883 456.66411441626883 0.43632692171240706 1
6 471.12808003465545 471.12808003465545 0 0
7 301.6860269634574 301.6860269634574 0 0
8 630.8975755900962 630.8975755900962 0 0
9 228.66304342265428 228.66304342265428 0 1
10 236.86392054814996 236.86392054814996 1.2008771254956798 1
11 29.098845294884704 29.098845294884704 0 0
12 504.66575654316 504.66575654316 0 0
13 74.47120303268655 74.47120303268655 0 0
14 202.34251956772772 202.34251956772772 0 0
15 130.16274268564123 130.16274268564123 0 0
16 288.6624022436533 288.6624022436533 0 0
17 598.2264200677777 598.2264200677777 0 1
18 191.4075680378969 191.4075680378969 0 0
19 578.2759890894152 580.512057066915 2.23606797749979 1
20 359.3975346149157 359.3975346149157 0 0
21 277.4820623561543 277.4820623561543 0 1
22 540.4029353040833 540.4029353040833 0.7464542320313967 1
23 116.98791488383665 116.98791488383665 0 0
24 500.63462766901074 500.63462766901074 0 1
25 387.5533537026944 387.5533537026944 0 0
26 244.77349351774552 244.77349351774552 0 0
27 556.4341548459647 556.4341548459647 0 1
28 477.5488895151666 477.5488895151666 0 1
29 441.2277874945564 441.2277874945564 0 1
30 195.24350005413493 195.24350005413493 0 1
31 433.41753781864975 433.41753781864975 0 1
32 28.598845294884704 28.598845294884704 0 1
33 557.1412616271513 557.1412616271513 0 0
34 152.81866966871434 152.81866966871434 0 0
35 579.3940230781651 579.3940230781651 0 0
36 490.15234844027566 490.15234844027566 0 1
37 168.28212244525122 168.28212244525122 0 0
38 251.7224794013407 251.7224794013407 0 0
39 97.84171918806433 97.84171918806433 0 1
40 492.38841641777543 492.38841641777543 0 0
41 39.76053249354268 39.76053249354268 0 0
42 255.9414031276163 255.9414031276163 0 1
43 627.8561943249471 627.8561943249471 0 1
44 23.304871977086364 23.304871977086364 0 0
45 388.9675672650675 390.9675672650675 2 1
46 17.782191468492734 17.782191468492734 0 1
47 615.6906692643506 615.6906692643506 0 1
48 546.7668963347622 546.7668963347622 0 0
49 389.9675672650675 389.9675672650675 0 0
50 44.960829651983936 44.960829651983936 0 0
51 123.49191065357807 123.49191065357807 0 1
52 44.460829651983936 44.460829651983936 0 1
53 457.66411441626883 457.66411441626883 0 0
54 663.9511068816304 663.9511068816304 0 1
55 264.0036608759149 264.0036608759149 0 0
56 297.8781404105254 297.8781404105254 0 1
57 485.0559096086004 485.0559096086004 0 0
58 88.62217473077145 88.62217473077145 2.851848823580596 1
59 245.8915275064954 245.8915275064954 0.20382042637677955 1
60 36.84505654612003 36.84505654612003 0 1
61 562.0910090954571 562.0910090954571 0 1
62 346.11050327408066 346.11050327408066 0 1
63 244.27349351774552 244.27349351774552 1.4095729695955583 1
64 529.8076232702557 529.8076232702557 0.19519685791124175 1
65 148.78754079456507 148.78754079456507 0 1
66 105.45749229392824 105.45749229392824 0 0
67 175.08167207456185 175.08167207456185 0 1
68 498.39855969151097 498.39855969151097 0 1
69 166.47934680751922 166.47934680751922 0 1
70 632.3283302799466 632.3283302799466 0 1
71 479.3516651528986 479.3516651528986 0 0
72 601.4279821864941 601.4279821864941 0 0
73 234.36392054814996 234.36392054814996 0 0
74 307.0976848678183 307.0976848678183 0 1
75 516.1588023652707 516.1588023652707 0 1
76 204.585160254847 204.585160254847 0 1
77 57.331109485013926 57.331109485013926 0 0
78 68.77032590719085 68.77032590719085 0 1
79 176.66281090464605 176.66281090464605 0 0
80 567.6811790392067 567.6811790392067 0 0
81 644.4320487168568 644.4320487168568 0 0
82 480.93280398298276 480.93280398298276 0.3839144678161688 1
83 537.2406576439149 537.2406576439149 0 0
84 451.73968551537075 451.73968551537075 0 0
85 116.2808081026501 116.2808081026501 0 1
86 241.58091111417826 241.58091111417826 0 0
87 138.4919106535781 138.4919106535781 0 1
88 181.78987600706122 181.78987600706122 0 1
89 462.9886697366056 462.9886697366056 0 1
90 584.5431859410643 584.5431859410643 0 0
91 220.49162537252755 220.49162537252755 0 0
92 200.34251956772772 200.34251956772772 0 1
93 623.6906692643506 623.6906692643506 0 0
94 51.74093954126445 51.74093954126445 0 1
95 384.1992517364447 384.1992517364447 0 1
96 520.18993123942 520.18993123942 0 0
97 352.87833220971305 352.87833220971305 0.7678289356323944 1
98 212.11009806540744 212.11009806540744 2.4259182969676374 1
99 349.71605454954465 349.71605454954465 0 0
