The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 4 8 11 3 7 14 18 12 19 16;

The sequence of nodes visited by the drone:
set dronedNodes := 0 5 4 9 3 10 14 15 18 2 12 17 19 6;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (11,13,11) (7,1,7);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 248.9005454958488 248.9005454958488 0 1
1 105.57494479833095 105.57494479833095 0 0
2 153.23080261871343 153.23080261871343 0 0
3 75.97025844218167 75.97025844218167 0.858665422034619 1
4 39.90300625948835 39.90300625948835 0 1
5 10.036694466774964 10.036694466774964 0 0
6 204.5635877114764 204.5635877114764 0 0
7 95.97025844218167 115.17963115448022 19.209372712298546 1
8 49.90300625948835 49.90300625948835 0 1
9 57.12218161721091 57.12218161721091 0 0
10 98.9158462533492 98.9158462533492 0 0
11 58.50533152653098 67.0493352718485 8.54400374531753 1
12 167.99562567894682 167.99562567894682 0.6360761981476912 1
13 62.77733339918974 62.77733339918974 0 0
14 125.37767018166579 125.37767018166579 0 1
15 130.3776701816658 130.3776701816658 0 0
16 219.74332360380183 219.74332360380183 0 1
17 180.52558976508848 180.52558976508848 0 0
18 132.8776701816658 132.8776701816658 2.1148351928654847 1
19 198.86271058598072 198.86271058598072 16.00101615971539 1
