The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 2 5 13 17 19 7 4 14 9 18;

The sequence of nodes visited by the drone:
set dronedNodes := 0 16 5 3 13 12 17 8 19 15 7 11 4 1 14 10 9 6 18;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 305.32587686876354 305.32587686876354 0 1
1 194.98442148272622 194.98442148272622 0 0
2 49.20645476282298 49.20645476282298 0 1
3 83.30908613931004 83.30908613931004 0 0
4 181.38295097399077 181.38295097399077 9.925299434016836 1
5 66.20645476282297 66.20645476282297 0 1
6 269.99241703032425 269.99241703032425 0 0
7 154.42826517404754 154.42826517404754 0 1
8 125.32756394853595 125.32756394853595 0 0
9 265.49241703032425 265.49241703032425 0 1
10 242.09606088941035 242.09606088941035 0 0
11 172.04218012785608 172.04218012785608 0 0
12 112.93167278714624 112.93167278714624 0 0
13 107.54650798001174 107.54650798001174 0 1
14 216.09606088941035 216.09606088941035 0 1
15 146.98605691759664 146.98605691759664 0 0
16 13.790065121559877 13.790065121559877 0 0
17 122.77805419173956 122.77805419173956 0 1
18 281.98483953279487 281.98483953279487 0 1
19 134.17980844273094 134.17980844273094 0 1
