The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    28   47   42   11   49   31   3    21   15   1    12   43
22   10   32   9    2    26   20   27   17   7    24   25   13;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    35   10   48   9    38   26   30   21   39   7    5    12   45   13
19   28   33   42   4    49   40   3    46   15   41   24   18   43   6
22   16   32   44   11   34   20   36   17   37   1    8    25   23;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (9,29,9) (17,14,17);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 423.9233694120937 423.9233694120937 0 1
1 277.5097177407113 277.5097177407113 5.700877125495708 1
2 129.70688479506614 129.70688479506614 0 1
3 175.49588547204405 175.49588547204405 0 1
4 112.95714892270907 112.95714892270907 0 0
5 297.1566004450998 297.1566004450998 0 0
6 410.92051848995095 410.92051848995095 0 0
7 266.7098211016228 266.7098211016228 0 1
8 322.78686537744136 322.78686537744136 0 0
9 102.31484089188876 106.43794651750642 4.123105625617661 1
10 60.528170261557776 60.528170261557776 0 1
11 125.46424410794687 125.46424410794687 0 1
12 339.1346481017132 339.1346481017132 4.63873099179682 1
13 406.1771019996984 406.1771019996984 0 1
14 222.3903822946383 222.3903822946383 0 0
15 246.5852093041247 246.5852093041247 0 1
16 52.5168696965718 52.5168696965718 0 0
17 221.3903822946383 223.3903822946383 2 1
18 349.0593647223528 349.0593647223528 0 0
19 17.99006470518584 17.99006470518584 0 0
20 159.21706487594435 159.21706487594435 0 1
21 192.59802219686236 192.59802219686236 0 1
22 32.161876692588926 32.161876692588926 0 1
23 378.39650793759085 378.39650793759085 0 0
24 315.6279548458032 315.6279548458032 0 1
25 357.5593647223528 357.5593647223528 5.27177018267372 1
26 147.53382637001678 147.53382637001678 0 1
27 190.36195421936256 190.36195421936256 0 1
28 46.92669975282233 46.92669975282233 0 1
29 104.37639370469759 104.37639370469759 0 0
30 162.75259878187708 162.75259878187708 0 0
31 152.00596232501636 152.00596232501636 0 1
32 75.73751109832156 75.73751109832156 1.5046409260441607 1
33 66.18502451105016 66.18502451105016 0 0
34 145.4761881215731 145.4761881215731 0 0
35 38.96261194695665 38.96261194695665 0 0
36 179.6189910976617 179.6189910976617 0 0
37 257.5510654038554 257.5510654038554 0 0
38 131.3165940633067 131.3165940633067 0 0
39 228.70545520100563 228.70545520100563 0 0
40 151.43895120797012 151.43895120797012 0 0
41 272.41069822711853 272.41069822711853 0 0
42 87.08329468016095 87.08329468016095 2.7434583147967544 1
43 376.1604399600911 376.1604399600911 0 1
44 91.61098724922965 91.61098724922965 0 0
45 367.42090618401085 367.42090618401085 0 0
46 203.60937996963497 203.60937996963497 0 0
47 62.528170261557776 62.528170261557776 0 1
48 79.2730450042543 79.2730450042543 0 0
49 142.434806856424 142.434806856424 0 1
