The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    42   48   24   35   19   22   13   31   49   32   10   1    21
2    14   7    15   33   20   6    44   39   30   38   41   3    26;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    16   14   17   15   28   20   43   13   12   30   27   41   34   21
45   42   36   7    47   19   29   6    9    49   8    10   37   3    26
2    5    48   18   35   23   22   40   31   4    32   11   1    46   25;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 421.9745074749509 421.9745074749509 0 1
1 361.4456789341917 361.4456789341917 0 1
2 32.08660485242805 32.08660485242805 0 1
3 370.2009493168941 370.2009493168941 0.1529451156598043 1
4 280.36435642300273 280.36435642300273 0 0
5 43.16541885946632 43.16541885946632 0 0
6 213.08921360705892 213.08921360705892 0 1
7 80.61066588887137 80.61066588887137 1.7533296037605481 1
8 287.1271482428684 287.1271482428684 0 0
9 249.66568682604188 249.66568682604188 0 0
10 316.40015768123584 316.40015768123584 0 1
11 319.56243534140424 319.56243534140424 0 0
12 270.7553132062356 270.7553132062356 0 0
13 243.08921360705892 243.08921360705892 0 1
14 48.866295984962015 48.866295984962015 0 1
15 97.84123129279095 97.84123129279095 1.3930269176843524 1
16 34.915031977174245 34.915031977174245 0 0
17 70.9929738580357 70.9929738580357 0 0
18 92.62107803833568 92.62107803833568 0 0
19 154.11624335035773 154.11624335035773 0 1
20 162.71856861740036 162.71856861740036 0 1
21 389.43633337856545 389.43633337856545 0 1
22 188.35057985335297 188.35057985335297 0 1
23 157.72179462582173 157.72179462582173 0 0
24 82.84673386637115 82.84673386637115 0 1
25 404.0139015687551 404.0139015687551 0 0
26 399.48620899968637 399.48620899968637 0 1
27 299.9528348585901 299.9528348585901 0 0
28 135.59979582148188 135.59979582148188 0 0
29 168.10373342453488 168.10373342453488 0 0
30 284.8910802653686 284.8910802653686 0 1
31 265.6074981357421 265.6074981357421 0 1
32 293.3763616396072 293.3763616396072 0 1
33 133.0924473087291 133.0924473087291 0 1
34 367.9648813393943 367.9648813393943 0 0
35 130.8563793312293 130.8563793312293 0 1
36 56.43266896017279 56.43266896017279 0 0
37 347.02915357239766 347.02915357239766 0 0
38 295.3763616396072 295.3763616396072 0 1
39 273.223271241606 273.223271241606 0 1
40 213.79632038824548 213.79632038824548 0 0
41 342.41938134375124 342.41938134375124 0 1
42 37.464541733970634 37.464541733970634 0.27891736794979494 1
43 199.98028320296598 199.98028320296598 0 0
44 263.6074981357421 263.6074981357421 0 1
45 14.649086692694818 14.649086692694818 0 0
46 375.5160222232614 375.5160222232614 0 0
47 108.1489953568351 108.1489953568351 0 0
48 66.69181122451438 66.69181122451438 0.7961288736259604 1
49 276.82882251707 276.82882251707 0 1
