The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    35   15   14   29   47   4    44   23   30   43   22   17   1
6    3    26   2    31   8    41   45   33   39   49   37   42   46;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    27   3    20   2    9    4    12   33   38   43   28   17   5    46
7    35   40   14   18   47   10   44   24   39   13   37   16   1    48
6    25   15   36   31   21   41   19   30   34   22   11   42   32;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 373.24633977977527 373.24633977977527 0 1
1 324.1179124153746 324.1179124153746 0.5210527442407624 1
2 112.52334052627283 112.52334052627283 0 1
3 66.3168270047972 66.3168270047972 0 1
4 146.48245010263804 146.48245010263804 0.25520256780666273 1
5 320.6179124153746 320.6179124153746 0 0
6 21.604466262843875 21.604466262843875 0 1
7 2.480241700499659 2.480241700499659 0 0
8 144.22724753483138 144.22724753483138 0 1
9 130.20159429358375 130.20159429358375 0 0
10 156.48245010263804 156.48245010263804 0 0
11 300.1056472309253 300.1056472309253 0 0
12 174.64290986600386 174.64290986600386 0 0
13 272.4543339786653 272.4543339786653 0 0
14 102.52334052627283 102.52334052627283 0 1
15 77.6477788996425 77.6477788996425 0.1506120073463535 1
16 311.3167497818533 311.3167497818533 0 0
17 307.3167497818533 307.3167497818533 0.7946946859292439 1
18 117.47308799457866 117.47308799457866 0 0
19 193.81841669592578 193.81841669592578 0 0
20 83.97233421997926 83.97233421997926 0 0
21 142.21044822997928 142.21044822997928 0 0
22 276.4854628528146 276.4854628528146 1.4048331252959088 1
23 193.23458853659758 193.23458853659758 0 1
24 217.28837748254568 217.28837748254568 0 0
25 41.84374911136882 41.84374911136882 0 0
26 84.71884671150798 84.71884671150798 0 1
27 27.456816218203688 27.456816218203688 0 0
28 281.095235081461 281.095235081461 0 0
29 114.52334052627283 114.52334052627283 0 1
30 225.96308448894584 225.96308448894584 0 1
31 129.08356030483387 129.08356030483387 0 1
32 331.3980223046551 331.3980223046551 0 0
33 204.9392884473172 204.9392884473172 0 1
34 261.5854076686388 261.5854076686388 0 0
35 34.41071473770957 34.41071473770957 0 1
36 105.43881647369548 105.43881647369548 0 0
37 293.1056472309253 293.1056472309253 1.5868879997378258 1
38 234.0253422372444 234.0253422372444 0 0
39 249.81680537269898 249.81680537269898 0 1
40 72.1477788996425 72.1477788996425 0 0
41 172.14290986600386 172.14290986600386 0.4216008351178857 1
42 316.3167497818533 316.3167497818533 0.7537887487646913 1
43 267.8445617500189 267.8445617500189 0 1
44 183.18827088319114 183.18827088319114 0 1
45 190.99852055909778 190.99852055909778 0 1
46 344.7334405434629 344.7334405434629 0 1
47 138.570393285339 138.570393285339 0 1
48 358.87557616719386 358.87557616719386 0 0
49 270.08062972751867 270.08062972751867 0 1
