The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    36   34   4    48   42   49   26   45   40   18   46   7    15
14   16   30   2    9    19   20   13   22   39   8    17   24;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    31   16   28   4    37   9    32   49   21   45   27   8    47   7    1
25   36   41   30   35   48   5    19   29   13   10   39   3    17   44
14   23   34   38   2    12   42   11   20   6    22   43   46   33   15;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 401.8189420493878 401.8189420493878 0 1
1 382.14510434303634 382.14510434303634 0 0
2 143.2673662863504 143.2673662863504 0 1
3 314.3864626001285 314.3864626001285 0 0
4 132.97173614536342 132.97173614536342 0 1
5 167.13008395897478 167.13008395897478 0 0
6 237.0779270954632 237.0779270954632 0 0
7 345.1231213701105 345.1231213701105 0 1
8 308.55551070528315 308.55551070528315 0 1
9 164.58057420217838 164.58057420217838 0 1
10 256.7516942684239 256.7516942684239 0 0
11 195.74392951959686 195.74392951959686 0 0
12 163.08057420217838 163.08057420217838 0 0
13 231.0779270954632 231.0779270954632 0 1
14 39.34141773377356 39.34141773377356 0 1
15 371.16785514298624 371.16785514298624 0 1
16 69.53523398364297 69.53523398364297 0 1
17 338.79856604977374 338.79856604977374 0 1
18 297.9253648925485 297.9253648925485 0 1
19 182.32752165459812 182.32752165459812 0 1
20 218.9845583558293 218.9845583558293 6.284084884233806 1
21 224.64141260532168 224.64141260532168 0 0
22 265.944082423849 265.944082423849 0.02463339728859637 1
23 61.73222777141228 61.73222777141228 0 0
24 364.09678733112077 364.09678733112077 0 1
25 4.55544206755508 4.55544206755508 0 0
26 225.69276228832868 225.69276228832868 0 1
27 277.0120542344383 277.0120542344383 0 0
28 98.56322808866557 98.56322808866557 0 0
29 210.4698651728661 210.4698651728661 0 0
30 109.95000727892075 109.95000727892075 0 1
31 43.86911030284227 43.86911030284227 0 0
32 177.39242988844438 177.39242988844438 0 0
33 343.29856604977374 343.29856604977374 0 0
34 88.85498416919177 88.85498416919177 1.2919938082288525 1
35 138.07075565895622 138.07075565895622 0 0
36 51.42446370736813 51.42446370736813 0 1
37 147.9843568523787 147.9843568523787 0 0
38 117.76025695482741 117.76025695482741 0 0
39 289.6791536413132 289.6791536413132 0 1
40 274.5464076908916 274.5464076908916 0 1
41 77.67464428169282 77.67464428169282 0 0
42 170.66561786490752 170.66561786490752 0.08504366272913444 1
43 297.1791536413132 297.1791536413132 0 0
44 353.98314394344516 353.98314394344516 0 0
45 253.55013214970742 253.55013214970742 0 1
46 325.7601612393684 325.7601612393684 0 1
47 330.7601612393684 330.7601612393684 0 0
48 162.58057420217838 162.58057420217838 0 1
49 205.08470036573158 205.08470036573158 2.8323198659621767 1
