The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    42   7    15   17   23   33   43   13   31   49   32   10   1    21
2    14   24   48   36   20   35   40   44   39   30   38   41   3    26;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    16   14   47   23   28   40   12   49   8    10   37   3    26
45   42   18   36   29   43   9    44   4    32   11   1    46   25
2    5    15   19   35   6    13   22   30   27   41   34   21;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 401.96715837805993 401.96715837805993 0 1
1 341.4383298373007 341.4383298373007 0 1
2 32.08660485242805 32.08660485242805 0 1
3 350.19360022000313 350.19360022000313 0.1529451156598043 1
4 260.3570073261118 260.3570073261118 0 0
5 43.16541885946632 43.16541885946632 0 0
6 190.96018839616235 190.96018839616235 0 0
7 67.4673712227003 67.4673712227003 0 1
8 267.1197991459774 267.1197991459774 0 0
9 214.07142075629173 214.07142075629173 0 0
10 296.3928085843449 296.3928085843449 0 1
11 299.5550862445133 299.5550862445133 0 0
12 236.8386810023656 236.8386810023656 0 0
13 223.081864510168 223.081864510168 0 1
14 48.866295984962015 48.866295984962015 0 1
15 83.30490970893553 83.30490970893553 0 1
16 34.915031977174245 34.915031977174245 0 0
17 107.52773432779146 107.52773432779146 0 1
18 69.26850174806518 69.26850174806518 0 0
19 126.44249387602454 126.44249387602454 0 0
20 138.89656760369354 138.89656760369354 0 1
21 369.4289842816745 369.4289842816745 0 1
22 250.32696106238805 250.32696106238805 0 0
23 135.73428994352517 135.73428994352517 0 1
24 69.70343920020008 69.70343920020008 0 1
25 384.00655247186415 384.00655247186415 0 0
26 379.4788599027954 379.4788599027954 0 1
27 279.94548576169916 279.94548576169916 0 0
28 173.0789930889168 173.0789930889168 0 0
29 142.69848408211723 142.69848408211723 0 0
30 264.88373116847765 264.88373116847765 0 1
31 245.60014903885119 245.60014903885119 0 1
32 273.36901254271623 273.36901254271623 0 1
33 166.09950862116443 166.09950862116443 0 1
34 347.95753224250336 347.95753224250336 0 0
35 168.33557659866423 168.33557659866423 0 1
36 119.73428994352517 119.73428994352517 0 1
37 327.0218044755067 327.0218044755067 0 0
38 275.36901254271623 275.36901254271623 0 1
39 253.21592214471508 253.21592214471508 0 1
40 192.06573967162635 192.06573967162635 0 1
41 322.4120322468603 322.4120322468603 0 1
42 37.464541733970634 37.464541733970634 0.27891736794979494 1
43 188.46018839616235 188.46018839616235 0 1
44 243.60014903885119 243.60014903885119 0 1
45 14.649086692694818 14.649086692694818 0 0
46 355.50867312637047 355.50867312637047 0 0
47 93.61267377297968 93.61267377297968 0 0
48 98.92540906074883 98.92540906074883 0 1
49 256.8214734201791 256.8214734201791 0 1
