The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    1    3    26   2    31   8    41   45   30   43   22   42   6
46   17   15   14   29   47   4    44   33   39   49   5    35;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    32   17   40   14   18   47   10   44   19   30   34   22   37   35   7
48   1    11   15   36   31   21   41   23   33   38   43   28   42   27
46   16   3    20   2    9    4    12   45   24   39   13   5    25   6;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 387.6781850424358 387.6781850424358 0 1
1 49.128427364400665 49.128427364400665 0 1
2 131.4503758641103 131.4503758641103 0 1
3 85.24386234263469 85.24386234263469 0 1
4 165.40948544047552 165.40948544047552 0.25520256780666273 1
5 314.1991323653213 314.1991323653213 1.4478684389558225 1
6 366.07371877959196 366.07371877959196 0 1
7 374.67604404663456 374.67604404663456 0 0
8 163.15428287266886 163.15428287266886 0 1
9 149.12862963142123 149.12862963142123 0 0
10 175.40948544047552 175.40948544047552 0 0
11 71.86370461158866 71.86370461158866 0 0
12 193.56994520384134 193.56994520384134 0 0
13 297.0582312625256 297.0582312625256 0 0
14 121.45037586411031 121.45037586411031 0 1
15 96.57481423747998 96.57481423747998 0.1506120073463535 1
16 56.890514712530674 56.890514712530674 0 0
17 64.65260206066068 64.65260206066068 0 1
18 136.40012333241614 136.40012333241614 0 0
19 221.16165842405738 221.16165842405738 0 0
20 102.89936955781674 102.89936955781674 0 0
21 161.13748356781676 161.13748356781676 0 0
22 301.0893601366749 301.0893601366749 1.4048331252959088 1
23 206.5874421760282 206.5874421760282 0 0
24 241.89227476640596 241.89227476640596 0 0
25 345.834435931067 345.834435931067 0 0
26 103.64588204934546 103.64588204934546 0 1
27 356.62157227097595 356.62157227097595 0 0
28 305.6991323653213 305.6991323653213 0 0
29 133.4503758641103 133.4503758641103 0 1
30 250.56698177280612 250.56698177280612 0 1
31 148.01059564267135 148.01059564267135 0 1
32 34.53369652570851 34.53369652570851 0 0
33 229.5431857311775 229.5431857311775 5.6892415570580965 1
34 286.18930495249907 286.18930495249907 0 0
35 353.26747030472626 353.26747030472626 0.6133170904669782 1
36 124.36585181153296 124.36585181153296 0 0
37 320.5630933960002 320.5630933960002 0 0
38 258.62923952110464 258.62923952110464 0 0
39 274.42070265655923 274.42070265655923 0 1
40 91.07481423747998 91.07481423747998 0 0
41 191.06994520384134 191.06994520384134 0.4216008351178857 1
42 327.6341612078657 327.6341612078657 4.832703575501796 1
43 292.4484590338792 292.4484590338792 0 1
44 202.11530622102862 202.11530622102862 0 1
45 209.92555589693526 209.92555589693526 0 1
46 28.51289923631236 28.51289923631236 0 1
47 157.4974286231765 157.4974286231765 0 1
48 5.980771884972382 5.980771884972382 0 0
49 294.684527011379 294.684527011379 0 1
