The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    36   34   4    48   42   49   26   6    45   40   8    17   24   1
14   16   30   2    9    19   20   13   10   22   39   46   7    15;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    31   16   38   2    12   42   11   13   27   39   3    17   44
41   36   28   4    37   9    32   20   29   40   18   46   33   15
14   23   30   35   48   5    19   21   10   43   8    47   7    25;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 394.1837432041571 394.1837432041571 0 1
1 384.5610880528239 384.5610880528239 0 1
2 141.97537247812159 141.97537247812159 0 1
3 305.825197109866 305.825197109866 0 0
4 131.67974233713457 131.67974233713457 0 1
5 165.83809015074596 165.83809015074596 0 0
6 232.6695285370384 232.6695285370384 0 1
7 336.561855879848 336.561855879848 0 1
8 299.99424521502067 299.99424521502067 0.43817853198498824 1
9 163.28858039394956 163.28858039394956 0 1
10 248.0485543512857 248.0485543512857 0.818806035686265 1
11 194.45193571136804 194.45193571136804 0 0
12 161.78858039394956 161.78858039394956 0 0
13 220.6695285370384 220.6695285370384 0 1
14 39.34141773377356 39.34141773377356 0 1
15 362.60658965272376 362.60658965272376 0 1
16 69.53523398364297 69.53523398364297 0 1
17 330.23730055951125 330.23730055951125 0 1
18 294.67917230865334 294.67917230865334 0 0
19 181.0355278463693 181.0355278463693 0 1
20 208.5761597974045 208.5761597974045 0 1
21 214.23301404689687 214.23301404689687 0 0
22 266.8209954655715 266.8209954655715 0 1
23 61.73222777141228 61.73222777141228 0 0
24 355.5355218408583 355.5355218408583 0 1
25 376.14357602340465 376.14357602340465 0 0
26 215.28436372990387 215.28436372990387 0 1
27 267.0485543512857 267.0485543512857 0 0
28 80.93698823463434 80.93698823463434 0 0
29 231.18142655785272 231.18142655785272 0 0
30 108.6580134706919 108.6580134706919 0 1
31 43.86911030284227 43.86911030284227 0 0
32 176.10043608021556 176.10043608021556 0 0
33 334.73730055951125 334.73730055951125 0 0
34 87.56299036096291 87.56299036096291 0 1
35 136.77876185072736 136.77876185072736 0 0
36 51.42446370736813 51.42446370736813 0 1
37 146.6923630441499 146.6923630441499 0 0
38 116.46826314659856 116.46826314659856 0 0
39 290.5560666830357 290.5560666830357 0 1
40 275.4233207326141 275.4233207326141 0 1
41 27.1828112858652 27.1828112858652 0 0
42 169.3736240566787 169.3736240566787 0.08504366272913444 1
43 283.03909383847804 283.03909383847804 0 0
44 345.42187845318267 345.42187845318267 0 0
45 254.45167858871855 254.45167858871855 0 1
46 317.19889574910593 317.19889574910593 0 1
47 322.19889574910593 322.19889574910593 0 0
48 161.28858039394956 161.28858039394956 0 1
49 200.96038669154058 200.96038669154058 0 1
