The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    17   37   36   10   38   48   28   16   15   7    39   18   35   19
27   32   34   8    9    40   1    29   47   21   43   14   3    2;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    44   32   41   10   22   48   28   49   47   11   39   5    35   42
23   17   30   36   13   40   1    46   16   25   7    31   3    12
27   33   34   24   9    45   26   29   6    15   20   18   4    19;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 386.3539505520214 386.3539505520214 0 1
1 176.48935918621865 176.48935918621865 0 1
2 345.753318711908 345.753318711908 0 1
3 316.92941898499686 316.92941898499686 0 1
4 322.95021627439303 322.95021627439303 0 0
5 305.92173963408686 305.92173963408686 0 0
6 218.07593997004972 218.07593997004972 0 0
7 260.82079812080116 260.82079812080116 0.45172249000836473 1
8 107.01991830822695 107.01991830822695 0 1
9 135.45845141475723 135.45845141475723 0.5460201775923679 1
10 117.88304487123845 117.88304487123845 3.583016673730981 1
11 248.29083403465947 248.29083403465947 0 0
12 342.83725189962297 342.83725189962297 0 0
13 127.39619366645867 127.39619366645867 0 0
14 290.9735745371032 290.9735745371032 0 1
15 236.74743765404426 236.74743765404426 2.4916473656763856 1
16 210.17024581962878 210.17024581962878 0.0263033008750142 1
17 36.180475414202405 36.180475414202405 0 1
18 300.77392456359337 300.77392456359337 2.5892474755621606 1
19 352.46152264440735 352.46152264440735 0 1
20 267.9271333225771 267.9271333225771 0 0
21 244.5576873299509 244.5576873299509 0 1
22 138.99398532068997 138.99398532068997 0 0
23 12.972841923014336 12.972841923014336 0 0
24 109.63683362000313 109.63683362000313 0 0
25 230.24743765404426 230.24743765404426 0 0
26 180.52048806036794 180.52048806036794 0 0
27 21.180475414202405 21.180475414202405 0 1
28 185.70890364351155 185.70890364351155 0 1
29 201.59993877343624 201.59993877343624 1.6783647263727914 1
30 71.35504008812552 71.35504008812552 0 0
31 287.31101254575714 287.31101254575714 0 0
32 56.280226656444185 56.280226656444185 0 1
33 42.98121066857013 42.98121066857013 0 0
34 80.90752667539692 80.90752667539692 0.9203214878690602 1
35 331.4354976486316 331.4354976486316 3.506078663634753 1
36 105.60570474585386 105.60570474585386 0 1
37 77.75113721002808 77.75113721002808 0 1
38 152.57569418338093 152.57569418338093 0 1
39 274.33025756000995 274.33025756000995 6.273391461709025 1
40 158.97881842081378 158.97881842081378 0 1
41 94.11737148901983 94.11737148901983 0 0
42 357.17851321043565 357.17851321043565 0 0
43 265.82079812080116 265.82079812080116 0 1
44 27.011427309047704 27.011427309047704 0 0
45 167.71094301910028 167.71094301910028 0 0
46 192.86781417514973 192.86781417514973 0 0
47 224.205914667247 224.205914667247 0 1
48 172.01722323121908 172.01722323121908 0 1
49 204.14944853023263 204.14944853023263 0 0
