The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    43   8    7    25   35   40   27   9    39   46   16   3
38   15   49   42   37   47   17   5    12   1    19   23   13;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    21   8    29   42   28   35   34   17   11   9    48   1    36   23   4
22   43   33   7    44   37   30   40   14   5    6    39   2    19   31   13
38   45   49   26   25   41   47   20   27   10   12   24   46   18   3    32;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 456.6210438038351 456.6210438038351 0 1
1 355.8210928124782 355.8210928124782 0 1
2 356.9391268012281 356.9391268012281 0 0
3 415.7140444407488 415.7140444407488 0 1
4 423.9905171193722 423.9905171193722 0 0
5 264.087999748979 264.087999748979 1.1972407433497665 1
6 284.4550451845049 284.4550451845049 0 0
7 97.30062761223473 97.30062761223473 0 1
8 61.77180360744205 61.77180360744205 0 1
9 271.33064043609824 271.33064043609824 1.2426406871192626 1
10 268.33064043609824 268.33064043609824 0 0
11 247.70966039481976 247.70966039481976 0 0
12 315.6138200870673 315.6138200870673 0 1
13 427.3759482304394 427.3759482304394 0 1
14 230.01038228859534 230.01038228859534 0 0
15 54.70073579557658 54.70073579557658 0 1
16 384.7392123889121 384.7392123889121 0 1
17 226.20249573566338 226.20249573566338 0 1
18 382.95643276329105 382.95643276329105 0 0
19 367.65120489827706 367.65120489827706 0.6483300419078546 1
20 219.54415797492456 219.54415797492456 0 0
21 29.911385887241035 29.911385887241035 0 0
22 8.038182210295794 8.038182210295794 0 0
23 390.3960666384045 390.3960666384045 0 1
24 346.66132057390354 346.66132057390354 0 0
25 135.30059116368545 135.30059116368545 0 1
26 103.81983001743738 103.81983001743738 0 0
27 239.80396624439882 239.80396624439882 0 1
28 144.80059116368545 144.80059116368545 0 0
29 83.4045495578636 83.4045495578636 0 0
30 186.42440529377362 186.42440529377362 0 0
31 400.52029500406275 400.52029500406275 0 0
32 439.45899420403396 439.45899420403396 0 0
33 65.12590557369174 65.12590557369174 0 0
34 195.74166636609922 195.74166636609922 0 0
35 181.47465782546777 181.47465782546777 0 1
36 363.04143266963064 363.04143266963064 0 0
37 151.7930136661561 151.7930136661561 0 1
38 22.752475355602858 22.752475355602858 0 1
39 320.0859560420669 320.0859560420669 0 1
40 214.800741484672 214.800741484672 0 1
41 163.80342581562041 163.80342581562041 0 0
42 116.27429357324502 116.27429357324502 0 1
43 39.56798984515502 39.56798984515502 0.262569132305309 1
44 126.88089529104323 126.88089529104323 0 0
45 42.922091811404705 42.922091811404705 0 0
46 360.920112326071 360.920112326071 0 1
47 189.72086907670308 189.72086907670308 0 1
48 318.52929603448996 318.52929603448996 0 0
49 76.9045495578636 76.9045495578636 0 1
