The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    46   85   8    13   29   24   65   22   66   30   33   63   80   56
92   98   14   16   82   73   53   19   40   43   74   3    95   87
32   57   93   27   72   96   34   94   31   99   47   4    89   38
6    45   10   68   48   25   60   79   81   76   21   75   26   54;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    98   85   16   13   48   96   34   19   31   99   21   75   26   90
51   49   58   28   88   42   37   18   55   97   5    64   41   11   54
32   57   93   27   82   29   25   60   94   66   30   3    63   80   86
7    2    67   70   52   78   44   61   62   17   35   1    84   50
46   45   10   68   72   73   53   65   40   43   74   4    89   87
59   12   9    20   91   23   15   36   77   71   83   69   39   38;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 559.5689222936911 559.5689222936911 0 1
1 425.85546755513525 425.85546755513525 0 0
2 51.636003355458776 51.636003355458776 0 0
3 424.73743356638533 424.73743356638533 0 1
4 428.34298484184933 428.34298484184933 0 1
5 378.96857457688094 378.96857457688094 0 0
6 26.332416193495 26.332416193495 0 1
7 22.69597717090612 22.69597717090612 0 0
8 132.85973878712142 132.85973878712142 0 1
9 111.63736911522284 111.63736911522284 0 0
10 110.05623028513865 110.05623028513865 0 1
11 482.21892864173924 482.21892864173924 0 0
12 62.07630986436933 62.07630986436933 0 0
13 157.3868469560257 157.3868469560257 0 1
14 90.92154192392768 90.92154192392768 0 1
15 239.36759814604366 239.36759814604366 0 0
16 134.85973878712142 134.85973878712142 0 1
17 347.5036531886026 347.5036531886026 0 0
18 252.9072291395673 252.9072291395673 0 0
19 283.3281534563105 283.3281534563105 0 1
20 154.20687327924696 154.20687327924696 0 0
21 417.4520502805993 417.4520502805993 0 1
22 300.6975469939743 300.6975469939743 0 1
23 214.75534304832883 214.75534304832883 0 0
24 230.86433331689483 230.86433331689483 0 1
25 224.15612938439546 224.15612938439546 0.708203932499373 1
26 476.3665786863794 476.3665786863794 0 1
27 143.40374253243894 143.40374253243894 0 1
28 138.4652900625854 138.4652900625854 0 0
29 199.1114230903788 199.1114230903788 0 1
30 395.32308258952264 395.32308258952264 0 1
31 326.50204080873914 326.50204080873914 0 1
32 18.086204942259677 18.086204942259677 0 1
33 420.6143279407677 420.6143279407677 0 1
34 244.3925359566041 244.3925359566041 0.27752930826710553 1
35 400.3480204000831 400.3480204000831 0 0
36 279.9740514900608 279.9740514900608 0 0
37 220.80202741814577 220.80202741814577 0 0
38 516.5326481276838 516.5326481276838 0 1
39 469.7333110207831 469.7333110207831 0 0
40 308.6975469939743 308.6975469939743 0 1
41 441.98080707034046 441.98080707034046 0 0
42 191.10012252539283 191.10012252539283 0 0
43 349.92246239152774 349.92246239152774 0 1
44 230.86433331689483 230.86433331689483 0 0
45 60.495171034285136 60.495171034285136 0 1
46 33.040620125994366 33.040620125994366 0 1
47 407.6031924788032 407.6031924788032 0 1
48 185.50995258164335 185.50995258164335 0 1
49 42.228626604125324 42.228626604125324 0 0
50 498.38702780834484 498.38702780834484 0 0
51 6.478369036298424 6.478369036298424 0 0
52 167.09395373721225 167.09395373721225 0 0
53 234.8954621910441 234.8954621910441 2.616915311776154 1
54 543.2159762559365 543.2159762559365 0 1
55 284.8281534563105 284.8281534563105 0 0
56 548.2159762559365 548.2159762559365 0 1
57 50.05486452537458 50.05486452537458 0 1
58 85.95101515700085 85.95101515700085 0 0
59 34.84339576372636 34.84339576372636 0 0
60 257.17923101222607 257.17923101222607 3.5671505983290785 1
61 268.84113480191667 268.84113480191667 0 0
62 297.8218721059415 297.8218721059415 0 0
63 448.8001242309781 448.8001242309781 0 1
64 421.0576015560633 421.0576015560633 0 0
65 274.38388154631133 274.38388154631133 0 1
66 340.70291793423485 340.70291793423485 2.4305475112266777 1
67 103.79873603057248 103.79873603057248 0 0
68 150.1757444050977 150.1757444050977 1.6729823590659691 1
69 430.84298484184933 430.84298484184933 0 0
70 147.6757444050977 147.6757444050977 0 0
71 355.42246239152774 355.42246239152774 0 0
72 170.50995258164335 170.50995258164335 0 1
73 210.8502182103755 210.8502182103755 0.6934341028094195 1
74 402.6031924788032 402.6031924788032 0 1
75 439.7447390928407 439.7447390928407 0 1
76 386.26769745138523 386.26769745138523 0 1
77 314.7390699807716 314.7390699807716 0 0
78 203.6391156594475 203.6391156594475 0 0
79 293.6264791821088 293.6264791821088 0 1
80 495.4715518609222 495.4715518609222 0 1
81 327.50204080873914 327.50204080873914 0 1
82 166.3868469560257 166.3868469560257 0 1
83 407.9883572859377 407.9883572859377 0 0
84 457.00073396440644 457.00073396440644 0 0
85 78.87994734513538 78.87994734513538 0 1
86 549.4809582990074 549.4809582990074 0 0
87 515.1184345653107 515.1184345653107 0 1
88 159.8868469560257 159.8868469560257 0 0
89 464.3249841075871 464.3249841075871 0 1
90 519.7342102464003 519.7342102464003 0 0
91 175.5348903922038 175.5348903922038 0 0
92 6.424301152569076 6.424301152569076 0 1
93 96.02056143752046 96.02056143752046 0 1
94 285.56422143381025 285.56422143381025 0 1
95 452.92322985659575 452.92322985659575 0 1
96 217.44792545189608 217.44792545189608 2.5977072415205953 1
97 335.00204080873914 335.00204080873914 0 0
98 38.87452463787564 38.87452463787564 0.7348849982884857 1
99 373.26769745138523 373.26769745138523 0 1
