The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    8    60   17   85   41   39   87   28   57   15   46   7
22   40   13   11   56   45   4    58   53   64   92   68   3
91   50   34   84   74   86   71   80   12   59   77   93   97
88   26   66   62   6    49   54   33   94   36   99   95   23;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    8    26   34   84   56   45   39   54   80   53   64   82   1    29   35
44   42   48   75   67   20   25   65   73   55   19   51   92   46   95   97
91   40   60   17   62   74   86   4    87   33   12   59   96   10   32   14
21   27   61   63   43   76   18   89   83   52   90   36   77   68   7
88   50   13   11   85   6    49   71   58   28   94   79   31   37   78
81   70   24   16   5    69   30   38   47   98   9    15   99   93   3;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (88,72,88) (39,2,39);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 635.7554403966757 635.7554403966757 0 1
1 533.5915508115239 533.5915508115239 0 0
2 231.2420625605343 231.2420625605343 0 0
3 597.1210653821165 597.1210653821165 0 1
4 241.22889554103944 241.22889554103944 0 1
5 170.18994704558554 170.18994704558554 0 0
6 193.9679978116178 193.9679978116178 0 1
7 587.1210653821165 587.1210653821165 0 1
8 53.97850617130586 53.97850617130586 0 1
9 431.32962176683765 431.32962176683765 0 0
10 538.5534210039002 538.5534210039002 0 0
11 140.87265659757387 140.87265659757387 0 1
12 383.4519600501341 383.4519600501341 0 1
13 104.00472185744361 104.00472185744361 0 1
14 621.2809697113166 621.2809697113166 0 0
15 497.6370772554481 497.6370772554481 0 1
16 143.10872457507367 143.10872457507367 0 0
17 128.83106201878158 128.83106201878158 0 1
18 217.65554854824762 217.65554854824762 0 0
19 375.0736061229515 375.0736061229515 0 0
20 174.76643826812702 174.76643826812702 0 4.890455080845894e-10
21 23.506443315646823 23.506443315646823 0 0
22 7.115916721304452 7.115916721304452 0 1
23 628.7441088367977 628.7441088367977 0 1
24 107.81260841037556 107.81260841037556 0 0
25 205.53519381907387 205.53519381907387 0 0
26 88.19261496624591 88.19261496624591 0 1
27 70.51231595858987 70.51231595858987 0 0
28 349.9205266026229 349.9205266026229 0 1
29 567.211422636711 567.211422636711 0 0
30 224.23618717919328 224.23618717919328 0 0
31 518.2537001724503 518.2537001724503 0 0
32 582.6675699364209 582.6675699364209 0 0
33 327.559846827625 327.559846827625 0 1
34 114.31260841037556 114.31260841037556 0.8739054208753458 1
35 602.6210653821165 602.6210653821165 0 0
36 481.3582566593484 481.3582566593484 0 1
37 552.9454922381651 552.9454922381651 0 0
38 262.9381898117634 262.9381898117634 0 0
39 230.7420625605343 231.7420625605343 1 1
40 63.353405426951696 63.353405426951696 3.0503439353090798 1
41 194.9679978116178 194.9679978116178 0 1
42 59.99930346070201 59.99930346070201 0 0
43 159.72151439936997 159.72151439936997 0 0
44 7.595801379422389 7.595801379422389 0 0
45 201.29255313195458 201.29255313195458 0 1
46 536.4918681910914 536.4918681910914 0 1
47 308.7244414932858 308.7244414932858 0 0
48 89.19261496624591 89.19261496624591 0 0
49 221.68667742239688 221.68667742239688 1.3617685568816853 1
50 73.42779190601252 73.42779190601252 0.02451085793993002 1
51 454.1381676147875 454.1381676147875 0 0
52 342.6346602593063 342.6346602593063 0 0
53 367.64057174929223 367.64057174929223 0 1
54 281.74501466818475 281.74501466818475 0 1
55 322.9887790157595 322.9887790157595 0 0
56 173.3522247057539 173.3522247057539 1.3785026285670483 1
57 425.99931676912666 425.99931676912666 0 1
58 305.2244414932858 305.2244414932858 1.8388900773107366 1
59 471.3582566593484 471.3582566593484 0 1
60 91.79816624170991 91.79816624170991 0 1
61 95.70329107966323 95.70329107966323 0 0
62 156.72151439936997 156.72151439936997 0 1
63 131.06712999628138 131.06712999628138 0 0
64 447.33743236041977 447.33743236041977 4.3381155912931035 1
65 236.0432251940556 236.0432251940556 0 0
66 121.02081234287493 121.02081234287493 0 1
67 153.41409680293722 153.41409680293722 0 0
68 549.9454922381651 549.9454922381651 0 1
69 197.3220997778675 197.3220997778675 0 0
70 77.6704325931318 77.6704325931318 0 0
71 261.82015582301347 261.82015582301347 0 1
72 36.99257879401961 36.99257879401961 0 0
73 284.9465767869012 284.9465767869012 0 0
74 180.9679978116178 180.9679978116178 0 1
75 116.31260841037556 116.31260841037556 0 0
76 185.6849883776461 185.6849883776461 0 0
77 517.2537001724503 517.2537001724503 0 1
78 592.0454942830146 592.0454942830146 0 0
79 485.9680288879948 485.9680288879948 0 0
80 320.4887790157595 320.4887790157595 0 1
81 48.139992084116706 48.139992084116706 0 0
82 499.4398528931801 499.4398528931801 0 0
83 300.7523055382862 300.7523055382862 0 0
84 150.72151439936997 150.72151439936997 0 1
85 165.2655181446875 165.2655181446875 0 1
86 215.85277291051563 215.85277291051563 0 1
87 293.95157028391844 293.95157028391844 0 1
88 36.28547201283306 37.69968557520615 1.4142135623730951 1
89 250.44843999833233 250.44843999833233 0 0
90 399.5221187301223 399.5221187301223 0 0
91 13.198679251602671 13.198679251602671 0 1
92 501.9893626499765 501.9893626499765 0.7467341190643992 1
93 558.8897641481643 558.8897641481643 0 1
94 423.7632487916269 423.7632487916269 0 1
95 579.5052922762526 579.5052922762526 0 1
96 507.2095159044318 507.2095159044318 0 0
97 616.5375532210641 616.5375532210641 0 1
98 354.3926625576225 354.3926625576225 0 0
99 529.783664258592 529.783664258592 0 1
