The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    50   85   67   76   63   56   97   29   36   22   61   17   32
54   52   51   88   98   59   16   95   89   24   48   19   47   46
60   78   15   30   9    42   34   45   28   75   33   35   43
41   39   69   92   10   21   3    31   82   64   27   2    93;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    13   23   37   14   73   55   34   95   89   36   64   27   17   93
54   78   51   67   92   10   21   65   25   53   68   40   80   5    11
77   4    87   79   1    86   7    3    45   28   24   22   19   47   32
60   39   15   88   98   59   56   62   99   71   12   83   90   8    44
94   58   66   18   91   38   16   97   29   82   75   48   2    43   46
52   85   69   30   9    42   74   20   84   6    96   57   72   70   81;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (63,26,63) (45,49,45);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 618.5467917189754 618.5467917189754 0 1
1 172.21163232054988 172.21163232054988 0 0
2 544.1723381382058 544.1723381382058 0.8289595346947181 1
3 294.7126927897414 294.7126927897414 0 1
4 70.22584393550942 70.22584393550942 0 0
5 560.9785866130715 560.9785866130715 0 0
6 432.8914843392033 432.8914843392033 0 0
7 249.85961856271183 249.85961856271183 0 0
8 577.9622932489425 577.9622932489425 0 0
9 191.52976465952585 191.52976465952585 0 1
10 199.73064178502153 199.73064178502153 1.2008771254956798 1
11 588.1683928726584 588.1683928726584 0 0
12 453.55478197458945 453.55478197458945 0 0
13 52.32436090855038 52.32436090855038 0 0
14 163.63515910156693 163.63515910156693 0 0
15 116.4149250086984 116.4149250086984 0 1
16 262.1314682514247 262.1314682514247 0 1
17 551.3739002569222 551.3739002569222 0.7984378812835757 1
18 155.2715345162602 155.2715345162602 0 0
19 532.8610993747759 532.8610993747759 0 1
20 313.601212071797 313.601212071797 0 0
21 239.73539019705353 239.73539019705353 0 1
22 488.54550650348125 488.54550650348125 0 1
23 96.56926517483065 96.56926517483065 0 0
24 449.5236531004402 449.5236531004402 0 1
25 341.7570311595757 341.7570311595757 0 0
26 206.23064178502153 206.23064178502153 0 0
27 511.9071865845051 511.9071865845051 0 1
28 425.97203596545444 425.97203596545444 0 1
29 397.09399512361705 397.09399512361705 1.662530172179288 1
30 159.10746653249822 159.10746653249822 0 1
31 387.6212152755311 387.6212152755311 0 1
32 589.9479464240907 589.9479464240907 0 1
33 510.492973022132 510.492973022132 0 1
34 280.5705571660105 280.5705571660105 0 1
35 535.0971673522757 535.0971673522757 0 1
36 440.5236531004402 440.5236531004402 1.9481582098766808 1
37 132.1460889236145 132.1460889236145 0 0
38 213.97580724223994 213.97580724223994 0 0
39 77.42306947905831 77.42306947905831 0 1
40 481.73802996683423 481.73802996683423 0 0
41 36.545048987387915 36.545048987387915 0 1
42 218.19473096851553 218.19473096851553 0 1
43 581.0036745140916 581.0036745140916 0 1
44 593.5880013687309 593.5880013687309 0 0
45 343.1712447219488 345.1712447219488 2 1
46 600.7646002504827 600.7646002504827 0 1
47 568.8381494534951 568.8381494534951 0 1
48 501.2734285648391 501.2734285648391 0 1
49 344.1712447219488 344.1712447219488 0 0
50 41.930213794522416 41.930213794522416 0 1
51 103.07326094457207 103.07326094457207 0 1
52 42.930213794522416 42.930213794522416 0 1
53 414.4118161868934 414.4118161868934 0 0
54 2.2887562854388217 2.2887562854388217 0 1
55 226.25698871681408 226.25698871681408 0 0
56 260.1314682514247 260.1314682514247 0 1
57 504.3148098299882 504.3148098299882 0 0
58 82.03284170770476 82.03284170770476 0 0
59 208.14485534739464 208.14485534739464 0 1
60 30.714097092542612 30.714097092542612 0 1
61 517.5640408339975 517.5640408339975 0 1
62 300.8973512281679 300.8973512281679 0 0
63 205.73064178502153 206.73064178502153 1 1
64 478.69664870168515 478.69664870168515 0.1951968579111849 1
65 284.60168604015973 284.60168604015973 0 0
66 119.95045891463114 119.95045891463114 0 0
67 138.94563855292515 138.94563855292515 0 1
68 444.64675872605784 444.64675872605784 0 0
69 130.34331328588252 130.34331328588252 0 1
70 583.2397424915914 583.2397424915914 0 0
71 427.77481160318644 427.77481160318644 0 0
72 548.1723381382058 548.1723381382058 0 0
73 197.23064178502153 197.23064178502153 0 0
74 266.036593089378 266.036593089378 0 0
75 465.04782779670023 465.04782779670023 0 1
76 169.87779978868622 169.87779978868622 0 1
77 12.800654306253142 12.800654306253142 0 0
78 59.930213794522416 59.930213794522416 0 1
79 140.52677738300935 140.52677738300935 0 0
80 520.2288450730517 520.2288450730517 0 0
81 604.795729124632 604.795729124632 0 0
82 429.3559504332706 429.3559504332706 0.3839144678161688 1
83 491.70778416364965 491.70778416364965 0 0
84 407.6058931444314 407.6058931444314 0 0
85 95.8621583936441 95.8621583936441 1.4210854715202004e-14 1
86 204.44763235104983 204.44763235104983 0 0
87 110.57326094457207 110.57326094457207 0 0
88 145.65384248542452 145.65384248542452 0 1
89 411.4118161868934 411.4118161868934 0 1
90 536.8922282489252 536.8922282489252 0 0
91 183.35834660939912 183.35834660939912 0 0
92 165.63515910156693 165.63515910156693 1.4286730554759117 1
93 585.4758104690911 585.4758104690911 0 1
94 36.30426703629209 36.30426703629209 0 0
95 338.40292919332603 338.40292919332603 0 1
96 469.0789566708495 469.0789566708495 0 0
97 307.0820096665944 307.0820096665944 0 1
98 174.976819302279 174.976819302279 0 1
99 363.28201499822364 363.28201499822364 0 0
