The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    93   52   85   69   92   10   21   97   13   5    57   75   19
54   70   50   51   67   76   63   56   95   31   84   40   83   35
46   8    58   87   88   98   59   74   45   29   71   64   61   17
11   60   39   65   30   9    42   62   25   53   82   24   27   44;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    60   39   87   67   92   10   42   74   49   47   48   68   80   35
81   94   66   3    79   1    86   55   99   45   84   57   24   61   72
46   50   85   65   88   98   63   21   62   77   6    22   12   33   17
43   78   23   34   18   91   26   7    97   13   71   40   75   27   2
93   58   51   69   30   9    59   56   20   89   28   36   96   90   44
41   4    15   37   14   73   38   16   95   29   82   64   83   19   32;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 665.4350350916768 665.4350350916768 0 1
1 195.17435721361164 195.17435721361164 0 0
2 608.0343077345108 608.0343077345108 0 0
3 128.35998329015223 128.35998329015223 0 0
4 77.25164173992849 77.25164173992849 0 0
5 458.9842398192801 458.9842398192801 0 1
6 475.5039296531394 475.5039296531394 0 0
7 273.4357368517459 273.4357368517459 0 0
8 39.72979390732014 39.72979390732014 0 1
9 214.4924895525876 214.4924895525876 0 1
10 222.6933666780833 222.6933666780833 1.2008771254956798 1
11 28.108561122685845 28.108561122685845 0 1
12 519.6295875269525 519.6295875269525 0 0
13 395.91234586497865 395.91234586497865 0.2834563449215466 1
14 186.5978839946287 186.5978839946287 0 0
15 116.98943405706629 116.98943405706629 0 0
16 284.70758654045875 284.70758654045875 0 0
17 604.8327456157944 604.8327456157944 0 1
18 178.23425940932196 178.23425940932196 0 0
19 589.4437312003287 589.4437312003287 0 1
20 344.4591518092166 344.4591518092166 0 0
21 263.31150848608763 263.31150848608763 0 1
22 499.52915236321684 499.52915236321684 0 0
23 103.81460625526171 103.81460625526171 0 0
24 515.5984586528032 515.5984586528032 0 1
25 376.2124016811095 376.2124016811095 0 1
26 230.60293964767885 230.60293964767885 0 0
27 576.4053263899234 576.4053263899234 0 1
28 485.40069631904163 485.40069631904163 0 0
29 443.9842398192801 443.9842398192801 0 1
30 182.07019142555998 182.07019142555998 0 1
31 436.17399014337343 436.17399014337343 0 1
32 640.7218315536288 640.7218315536288 0 0
33 574.2840060463637 574.2840060463637 0 0
34 139.6453610401394 139.6453610401394 0 0
35 591.6797991778285 591.6797991778285 0 1
36 504.68069628813925 504.68069628813925 0 0
37 155.10881381667627 155.10881381667627 0 0
38 237.55192553127404 237.55192553127404 0 0
39 84.66841055948937 84.66841055948937 0 1
40 502.4446283106395 502.4446283106395 0.47927388758205325 1
41 38.02141849888906 38.02141849888906 0 0
42 241.77084925754963 241.77084925754963 0 1
43 27.417617337848117 27.417617337848117 0 0
44 637.0817766089885 637.0817766089885 0 1
45 373.3839745563633 373.3839745563633 0 1
46 17.812930981698845 17.812930981698845 0 1
47 455.65685734920885 455.65685734920885 0 0
48 492.21576922540896 492.21576922540896 0 0
49 371.76086893074563 371.76086893074563 0 0
50 51.679137454187064 51.679137454187064 1.0975024635032256 1
51 110.31860202500313 110.31860202500313 0 1
52 49.58163499068384 49.58163499068384 0 1
53 456.9842398192801 456.9842398192801 0 1
54 2.2887562854388217 2.2887562854388217 0 1
55 249.83310700584818 249.83310700584818 0 0
56 283.70758654045875 283.70758654045875 0 1
57 495.25715049055805 495.25715049055805 0.11024292028110949 1
58 75.44886610219649 75.44886610219649 0 1
59 231.72097363642874 231.72097363642874 0.20382042637677955 1
60 41.96586188481993 41.96586188481993 0 1
61 570.748472140431 570.748472140431 1.3775512004731354 1
62 331.939949404014 331.939949404014 0 1
63 230.10293964767885 230.10293964767885 1.4095729695955583 1
64 508.5273908409377 508.5273908409377 0 1
65 135.61423216599013 135.61423216599013 0 1
66 92.28418366535328 92.28418366535328 0 0
67 161.9083634459869 161.9083634459869 0 1
68 512.558519715087 512.558519715087 0 0
69 153.30603817894428 153.30603817894428 0 1
70 37.49372592982035 37.49372592982035 0 1
71 483.59792068130963 483.59792068130963 0 1
72 596.6797991778285 596.6797991778285 0 0
73 220.1933666780833 220.1933666780833 0 0
74 292.92713099775165 292.92713099775165 0 1
75 531.1226333490632 531.1226333490632 0 1
76 192.84052468174798 192.84052468174798 0 1
77 389.8915485755825 389.8915485755825 0 0
78 60.42556529645501 60.42556529645501 0 0
79 163.4895022760711 163.4895022760711 0 0
80 565.1583021966815 565.1583021966815 0 0
81 4.951830330345935 4.951830330345935 0 0
82 486.90069631904163 486.90069631904163 0.14049797756359794 1
83 551.1226333490632 551.1226333490632 0 1
84 468.8330976210762 468.8330976210762 0 1
85 103.10749947407515 103.10749947407515 0 1
86 227.4103572441116 227.4103572441116 0 0
87 125.31860202500313 125.31860202500313 0 1
88 168.61656737848628 168.61656737848628 0 1
89 421.3141174567397 421.3141174567397 0 0
90 584.2315643111726 584.2315643111726 0 0
91 206.32107150246088 206.32107150246088 0 0
92 188.5978839946287 188.5978839946287 1.4286730554759117 1
93 33.49372592982035 33.49372592982035 0 1
94 47.5560318285694 47.5560318285694 0 0
95 369.26086893074563 369.26086893074563 0 1
96 535.1537622232125 535.1537622232125 0 0
97 337.939949404014 337.939949404014 0 1
98 197.93954419534077 197.93954419534077 0 1
99 315.5655938430952 315.5655938430952 0 0
