The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    51   13   19   60   52   36   74   88   42   64   94   43   54
1    57   98   4    87   40   67   11   21   58   17   56   15   44
49   92   53   61   18   82   91   33   85   63   69   2    62   95
20   70   39   86   41   65   26   35   81   7    89   28   27   9;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    20   92   53   61   87   24   97   33   81   7    89   43   54   9
6    10   79   71   31   48   82   67   90   23   96   12   93   5    50
1    51   70   39   86   18   73   91   88   42   17   56   15   44
25   83   45   77   32   41   65   75   84   47   3    66   37   34
49   57   13   4    60   30   99   11   85   58   69   28   27   95
80   8    46   55   76   52   36   38   14   16   59   68   78   72;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (98,22,98) (27,29,27);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 648.4493694481902 648.4493694481902 0 1
1 21.93143267609559 21.93143267609559 0 1
2 493.08479965098206 493.08479965098206 0 1
3 441.73882685461217 441.73882685461217 0 0
4 147.40332836905858 147.40332836905858 0.6664505971947676 1
5 560.5267961480936 560.5267961480936 0 0
6 6.9856215892535385 6.9856215892535385 0 0
7 423.83413310246823 423.83413310246823 0 1
8 86.96022181449462 86.96022181449462 0 0
9 628.2615771579233 628.2615771579233 0 1
10 58.39670140042456 58.39670140042456 0 0
11 301.45143853024797 301.45143853024797 0 1
12 465.0332496511583 465.0332496511583 0 0
13 109.03641168258824 109.03641168258824 0 1
14 366.9514703621337 366.9514703621337 0 0
15 522.7310524956164 522.7310524956164 0 1
16 408.9848906975507 408.9848906975507 0 0
17 436.9954103643596 436.9954103643596 0 1
18 212.10323079168447 212.10323079168447 0 1
19 143.13132649639982 143.13132649639982 0 1
20 46.1390507282933 46.1390507282933 0 1
21 348.34179050896716 348.34179050896716 0 1
22 119.50601038309874 119.50601038309874 0 0
23 388.00560440232033 388.00560440232033 0 0
24 234.65401854029733 234.65401854029733 0 0
25 29.563601437332462 29.563601437332462 0 0
26 292.5071666202488 292.5071666202488 0 1
27 546.0764915275466 549.0764915275466 3 1
28 499.1675621812803 499.1675621812803 0 1
29 547.5764915275466 547.5764915275466 0 0
30 223.56731997517846 223.56731997517846 0 0
31 165.4804568537836 165.4804568537836 0 0
32 181.97485055174073 181.97485055174073 0 0
33 321.96972305893115 321.96972305893115 0 1
34 577.0678526523197 577.0678526523197 0 0
35 327.06874257252395 327.06874257252395 0 1
36 267.4114886607914 267.4114886607914 0 1
37 529.2310524956164 529.2310524956164 0 0
38 306.67159178470325 306.67159178470325 0 0
39 133.13132649639982 133.13132649639982 0 1
40 242.15221124116593 242.15221124116593 0 1
41 213.51744435405757 213.51744435405757 0 1
42 395.91272573437243 395.91272573437243 0 1
43 506.23862999314576 506.23862999314576 0 1
44 571.9200375818263 571.9200375818263 0 1
45 105.45364915229001 105.45364915229001 0 0
46 112.8442982355202 112.8442982355202 0 0
47 398.4622354911688 398.4622354911688 0 0
48 205.11639781117933 205.11639781117933 0 0
49 39.73592649086045 39.73592649086045 0 1
50 633.2615771579233 633.2615771579233 0 0
51 67.23407383802228 67.23407383802228 0 1
52 228.55074073243048 228.55074073243048 0 1
53 125.92022394547183 125.92022394547183 0 1
54 556.8867412034533 556.8867412034533 0 1
55 150.93886227499132 150.93886227499132 0 0
56 470.99407761660757 470.99407761660757 0 1
57 81.55189490129864 81.55189490129864 0 1
58 402.6209296668718 402.6209296668718 0 1
59 449.5664781762251 449.5664781762251 0 0
60 188.29857674790298 188.29857674790298 0 1
61 153.43886227499132 153.43886227499132 1.0355339059327378 1
62 528.8138150259146 528.8138150259146 0 1
63 405.449356791618 405.449356791618 0 1
64 431.8963908507668 431.8963908507668 0 1
65 255.2049330450577 255.2049330450577 0 1
66 489.3788539274578 489.3788539274578 0 0
67 286.5164618353342 286.5164618353342 0 1
68 502.3691242999967 502.3691242999967 0 0
69 444.0664781762251 444.0664781762251 0 1
70 102.95364915229001 102.95364915229001 0 1
71 128.46973370226823 128.46973370226823 0 0
72 615.6942693627797 615.6942693627797 0 0
73 247.21670634341191 247.21670634341191 0 0
74 299.2153705527482 299.2153705527482 0 1
75 297.40714670837895 297.40714670837895 0 0
76 193.70690366109898 193.70690366109898 0 0
77 137.40332836905858 137.40332836905858 0 0
78 554.7333457770391 554.7333457770391 0 0
79 95.86912509971266 95.86912509971266 0 0
80 41.79747930366928 41.79747930366928 0 0
81 373.8900101888272 373.8900101888272 0 1
82 244.38827921866573 244.38827921866573 0 1
83 72.89092808751467 72.89092808751467 0 0
84 352.39061539972676 352.39061539972676 0 0
85 360.54834612470086 360.54834612470086 0 1
86 171.1813339792793 171.1813339792793 2.977648644054568 1
87 202.61639781117933 202.61639781117933 0 1
88 345.17951284879877 345.17951284879877 0 1
89 461.8709719909899 461.8709719909899 0 1
90 327.46972305893115 327.46972305893115 0 0
91 289.3448889600804 289.3448889600804 0 1
92 92.95364915229001 92.95364915229001 0 1
93 510.51063186580456 510.51063186580456 0 0
94 466.8709719909899 466.8709719909899 0 1
95 593.1332410174227 593.1332410174227 0 1
96 429.4243030462177 429.4243030462177 0 0
97 271.44261753494067 271.44261753494067 0 0
98 118.09179682072565 120.92022394547183 2.8284271247461903 1
99 257.4410010225575 257.4410010225575 0 0
