The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    4    49   36   40   32   2    22   33   97   85   99   39   83
72   82   64   66   96   31   80   92   41   73   8    55   3    53
87   69   42   13   81   16   52   90   58   29   35   27   54   18
60   70   67   57   77   93   19   43   46   56   6    61   76   30;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    4    70   67   57   32   2    92   41   97   8    99   61   9    63
94   38   14   98   23   37   7    34   21   17   62   25   39   76   18
87   82   64   66   40   16   80   43   58   73   35   55   20   45   12
26   65   75   68   47   5    15   79   28   95   84   91   3    83   30
60   69   42   13   96   93   52   33   46   85   6    27   74   86   11
48   78   1    88   71   51   50   59   24   89   44   10   54   53;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 630.5169020072957 630.5169020072957 0 1
1 97.48703229653155 97.48703229653155 0 0
2 229.9319554942906 229.9319554942906 0.24535011623029845 1
3 497.1225186367586 497.1225186367586 0 1
4 42.67282393109896 42.67282393109896 0 1
5 214.11201783472026 214.11201783472026 0 0
6 415.13027175072074 415.13027175072074 0 1
7 233.2860574605403 233.2860574605403 0 0
8 385.10536070104274 385.10536070104274 0 1
9 506.77968531655193 506.77968531655193 0 0
10 456.65310764976977 456.65310764976977 0 0
11 594.7122778188038 594.7122778188038 0 0
12 558.2138849778548 558.2138849778548 0 0
13 126.6268117150026 126.6268117150026 0 1
14 81.70696057371424 81.70696057371424 0 0
15 240.4319554942906 240.4319554942906 0 0
16 207.5928154295176 207.5928154295176 0 1
17 348.43263843872626 348.43263843872626 0 0
18 552.7138849778548 552.7138849778548 0 1
19 265.56281236895245 265.56281236895245 0 1
20 480.4266226224542 480.4266226224542 0 0
21 321.35000784036765 321.35000784036765 0 0
22 283.2546183819066 283.2546183819066 0 1
23 143.39701646084083 143.39701646084083 0 0
24 338.7523096528715 338.7523096528715 0 0
25 431.07549046982274 431.07549046982274 0 0
26 31.899463631872433 31.899463631872433 0 0
27 448.7474134993488 448.7474134993488 0 1
28 325.6314499784166 325.6314499784166 0 0
29 364.6399787153113 364.6399787153113 0 1
30 564.8794100384513 564.8794100384513 0 1
31 193.70037144006778 193.70037144006778 0 1
32 179.4877010365159 179.4877010365159 0 1
33 309.80049808357126 309.80049808357126 0 1
34 292.9429321876688 292.9429321876688 0 0
35 394.90652333456404 394.90652333456404 0.5816181762284032 1
36 103.98703229653155 103.98703229653155 0 1
37 187.11986979775276 187.11986979775276 0 0
38 45.874386049815385 45.874386049815385 0 0
39 471.8242973554116 471.8242973554116 0 1
40 145.89701646084083 145.89701646084083 1.4926731929963069 1
41 318.80049808357126 318.80049808357126 0 1
42 94.98703229653155 94.98703229653155 0 1
43 303.4759427632345 303.4759427632345 0 1
44 417.2515920942804 417.2515920942804 0 0
45 519.5337340225398 519.5337340225398 0 0
46 334.4803077802127 334.4803077802127 0 1
47 151.48718640459032 151.48718640459032 0 0
48 39.933857335170565 39.933857335170565 0 0
49 81.44302855121403 81.44302855121403 0 1
50 267.26656972523097 267.26656972523097 0 0
51 227.4319554942906 227.4319554942906 0 0
52 251.961341860217 251.961341860217 0 1
53 544.1115597108122 544.1115597108122 0 1
54 502.50768344389314 502.50768344389314 0 1
55 434.4295924360724 434.4295924360724 4.197038917617419 1
56 370.6399787153113 370.6399787153113 0 1
57 137.69613933534515 137.69613933534515 1.0194519992216442 1
58 324.6314499784166 324.6314499784166 0 1
59 311.8620508963801 311.8620508963801 0 2.616347686531688e-10
60 35.461721380170985 35.461721380170985 0 1
61 468.9958702306654 468.9958702306654 0 1
62 390.60536070104274 390.60536070104274 0 0
63 547.4656616770619 547.4656616770619 0 0
64 86.44302855121403 86.44302855121403 0 1
65 60.59695254639403 60.59695254639403 0 0
66 113.4738652770367 113.4738652770367 0 1
67 102.98703229653155 102.98703229653155 0 1
68 120.58020047881264 120.58020047881264 0 0
69 67.12391460011966 67.12391460011966 0 1
70 79.20696057371424 79.20696057371424 0 1
71 169.47779099149528 169.47779099149528 0 0
72 8.190090919573887 8.190090919573887 0 1
73 353.59461769812407 353.59461769812407 0 1
74 500.1638999019077 500.1638999019077 0 0
75 90.25091510414597 90.25091510414597 0 0
76 516.3321719038233 516.3321719038233 1.7414424863355862 1
77 172.4166332246504 172.4166332246504 0 1
78 72.97626455547947 72.97626455547947 0 0
79 304.18304954442107 304.18304954442107 0 0
80 234.9319554942906 234.9319554942906 0 1
81 161.01487897365902 161.01487897365902 0 1
82 57.90437014282678 57.90437014282678 0 1
83 535.5675559654946 535.5675559654946 0 1
84 401.9775911464295 401.9775911464295 0 0
85 378.7022364636099 378.7022364636099 0 1
86 537.3703316032266 537.3703316032266 0 0
87 27.399463631872433 27.399463631872433 0 1
88 133.5730337097275 133.5730337097275 0 0
89 381.39481886717715 381.39481886717715 0 0
90 295.8601696573706 295.8601696573706 0 1
91 441.81200396618914 441.81200396618914 0 0
92 286.8601696573706 286.8601696573706 0 1
93 220.6312202399229 220.6312202399229 0 1
94 8.592996320183788 8.592996320183788 0 0
95 360.3953529524918 360.3953529524918 0 0
96 156.01487897365902 156.01487897365902 0.26900471102209167 1
97 344.16063656606747 344.16063656606747 0.6249436477173731 1
98 110.0933674983075 110.0933674983075 0 0
99 425.7604175634554 425.7604175634554 0 1
