The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 18 9 14 4 7 19 8 13 5 2;

The sequence of nodes visited by the drone:
set dronedNodes := 0 16 18 6 9 10 14 1 4 11 19 17 8 12 13 15 5 3;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 295.4005774347467 295.4005774347467 0 1
1 110.23576751695319 110.23576751695319 0 0
2 246.19412267192374 246.19412267192374 0 1
3 246.2967540484108 246.2967540484108 0 0
4 123.94292589477276 123.94292589477276 0 1
5 229.19412267192374 229.19412267192374 0 1
6 33.648801400012815 33.648801400012815 0 0
7 140.97231226069917 140.97231226069917 0 1
8 176.45231520374358 176.45231520374358 0 1
9 39.83345983843931 39.83345983843931 0 1
10 63.02828684792571 63.02828684792571 0 0
11 133.28369674090746 133.28369674090746 0 0
12 179.36779115116624 179.36779115116624 0 0
13 187.85406945473497 187.85406945473497 0 1
14 89.22981597935319 89.22981597935319 0 1
15 207.66568221089392 207.66568221089392 0 0
16 13.790065121559877 13.790065121559877 0 0
17 166.92164611751144 166.92164611751144 0 0
18 23.341037335968664 23.341037335968664 0 1
19 161.22076899201576 161.22076899201576 0 1
