The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 4 8 11 3 7 14 15 18 6 12 19 16 5;

The sequence of nodes visited by the drone:
set dronedNodes := 0 9 8 13 11 1 7 10 18 2 12 17;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 230.95281347333278 230.95281347333278 0 1
1 84.89227575972026 84.89227575972026 0 0
2 146.9569550332223 146.9569550332223 0 0
3 70.48232845377458 70.48232845377458 0 1
4 39.90300625948835 39.90300625948835 0 1
5 210.87942453978286 210.87942453978286 0 1
6 143.63320896210107 143.63320896210107 0 1
7 94.49696211586954 94.49696211586954 4.014633662094951 1
8 50.58169585760649 50.58169585760649 0.6786895981181402 1
9 33.59640810614346 33.59640810614346 0 0
10 107.78229237145595 107.78229237145595 0 0
11 62.42007070547603 62.42007070547603 3.236049580826908 1
12 163.04969680104867 163.04969680104867 0 1
13 58.148068832817266 58.148068832817266 0 0
14 104.69500114305511 104.69500114305511 0 1
15 114.69500114305511 114.69500114305511 0 1
16 198.79637856618828 198.79637856618828 0 1
17 175.57966088719033 175.57966088719033 0 0
18 126.60382259617467 126.60382259617467 6.9088214531195575 1
19 177.91576554836718 177.91576554836718 0 1
