The sequence of nodes visited by the vehicle:
set vehicleNodes := 0 9 19 16 12 11 6 18 2 8 13;

The sequence of nodes visited by the drone:
set dronedNodes := 0 5 9 17 16 1 12 10 6 3 18 15 2 4 8 14 13 7;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 286.50275598958035 286.50275598958035 0 1
1 100.46011693071634 100.46011693071634 0 0
2 218.1803651556676 218.1803651556676 0 1
3 176.20622644828006 176.20622644828006 0 0
4 235.5369201133774 235.5369201133774 0 0
5 35.12528956035946 35.12528956035946 0 0
6 156.30019721088567 156.30019721088567 0 1
7 275.4545624417639 275.4545624417639 0 0
8 248.32999201903027 248.32999201903027 0 1
9 61.26045687491146 61.26045687491146 0 1
10 130.09106769416604 130.09106769416604 0 0
11 135.11057711046857 135.11057711046857 0 1
12 110.41239904001162 110.41239904001162 0 1
13 272.41318117661484 272.41318117661484 0 1
14 259.8408564522516 259.8408564522516 0 0
15 197.27096533422835 197.27096533422835 0 0
16 86.5586781562585 86.5586781562585 0 1
17 71.56822093895562 71.56822093895562 0 0
18 194.77096533422835 194.77096533422835 0 1
19 77.07184517575335 77.07184517575335 0 1
