The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    29   34   41   16   45   44   6    13   36   3    15   24   32
49   31   38   35   26   1    20   7    5    18   4    33   25   22;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    11   38   48   26   2    20   21   13   8    18   17   33   23   22
46   34   9    16   42   1    19   7    28   36   10   4    39   25   14
49   27   41   30   45   37   6    47   5    43   3    12   24   40;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 416.61549055083924 416.61549055083924 0 1
1 151.126842363845 151.126842363845 0 1
2 145.4805197084512 145.4805197084512 0 0
3 295.28208836786655 295.28208836786655 0 1
4 310.31538474623943 310.31538474623943 0 1
5 243.7070675804668 243.7070675804668 0 1
6 200.01408341900887 200.01408341900887 0 1
7 221.41501797804156 221.41501797804156 0 1
8 254.7184253532394 254.7184253532394 0 0
9 76.3328920085625 76.3328920085625 0 0
10 289.87209580958717 289.87209580958717 0 0
11 35.30382060191165 35.30382060191165 0 0
12 318.800666120478 318.800666120478 0 0
13 232.0451637907762 232.0451637907762 0 1
14 389.10135830199914 389.10135830199914 0 0
15 315.70054955337395 315.70054955337395 0 1
16 104.67678214858567 104.67678214858567 6.7102437490006395 1
17 299.75422432286615 299.75422432286615 0 0
18 284.6519425551319 284.6519425551319 0 1
19 183.63288446643773 183.63288446643773 0 0
20 175.80664654518847 175.80664654518847 2.181835738873872 1
21 210.93424825292965 210.93424825292965 0 0
22 385.49580702653515 385.49580702653515 0 1
23 358.7417160828273 358.7417160828273 0 0
24 352.0149040592904 352.0149040592904 0.6904285674146422 1
25 367.66737990178893 367.66737990178893 0 1
26 130.96131730324853 130.96131730324853 6.561452231346834 1
27 54.691217180916055 54.691217180916055 0 0
28 232.75227057196275 232.75227057196275 0 0
29 29.293677328176123 29.293677328176123 0 1
30 117.42433093256764 117.42433093256764 0 0
31 34.678842135310624 34.678842135310624 0 1
32 370.49580702653515 370.49580702653515 0 1
33 331.224724249634 331.224724249634 0 1
34 49.10104723716658 49.10104723716658 0 1
35 93.49440244458545 93.49440244458545 0 1
36 270.3341214918555 270.3341214918555 0 1
37 163.1476576440163 163.1476576440163 0 0
38 68.9504804784458 68.9504804784458 0 1
39 343.95264631099184 343.95264631099184 0 0
40 371.27293117725293 371.27293117725293 0 0
41 80.45599763418015 80.45599763418015 1.209887014747352 1
42 132.37553086562164 132.37553086562164 0 0
43 270.8341214918555 270.8341214918555 0 0
44 163.7759530045185 163.7759530045185 0 1
45 138.96131730324853 138.96131730324853 0 1
46 15.456851462993967 15.456851462993967 0 0
47 228.62612052896955 228.62612052896955 0 0
48 95.6629039599257 95.6629039599257 0 0
49 27.057609350676334 27.057609350676334 0 1
