The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    14   49   24   31   15   7    32   27   1    33   42   25   28
18   16   43   21   46   8    47   39   10   9    40   48   44   35;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    41   43   6    46   29   47   17   27   26   9    40   2    44   23
4    16   11   31   38   7    36   39   12   1    37   45   48   5    35
14   30   24   13   15   20   32   3    10   22   33   42   34   28   19;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 421.2804851225559 421.2804851225559 0 1
1 270.9833830437228 270.9833830437228 0 1
2 326.8915257433647 326.8915257433647 0 0
3 232.1118701847524 232.1118701847524 0 0
4 19.087660735442135 19.087660735442135 0 0
5 353.3108215715388 353.3108215715388 0 0
6 107.55276574218303 107.55276574218303 0 0
7 176.88213899145074 176.88213899145074 0 1
8 163.54047492732442 163.54047492732442 0 1
9 277.5726284256004 277.5726284256004 1.2040805747430454 1
10 249.3500753909389 249.3500753909389 0 1
11 87.83955759794061 87.83955759794061 0 0
12 246.0406054104331 246.0406054104331 0 0
13 124.23310562968197 124.23310562968197 0 0
14 34.71685086777017 34.71685086777017 0 1
15 158.1553101201899 158.1553101201899 0 1
16 54.41456647136238 54.41456647136238 0 1
17 213.28332045341364 213.28332045341364 0 0
18 15.71685086777017 15.71685086777017 0 1
19 380.3310853723108 380.3310853723108 0 0
20 179.00345933501038 179.00345933501038 0 0
21 107.89616178426904 107.89616178426904 0 1
22 275.51107561279156 275.51107561279156 0 0
23 366.86486571018435 366.86486571018435 0 0
24 97.89616178426904 97.89616178426904 0 1
25 337.32456011702396 337.32456011702396 0 1
26 255.61505743400974 255.61505743400974 0 0
27 237.30848081214663 237.30848081214663 0 1
28 357.9205938001852 357.9205938001852 0.16649204301927512 1
29 164.82614215225308 164.82614215225308 0 0
30 63.59334634670529 63.59334634670529 0 0
31 118.73310562968197 118.73310562968197 0.020290019020961836 1
32 204.26944226475365 204.26944226475365 1.805826386677552 1
33 295.0368776221734 295.0368776221734 0 1
34 341.75759449068323 341.75759449068323 0 0
35 375.1832703018173 375.1832703018173 0 1
36 197.750239859551 197.750239859551 0 0
37 281.60375729974965 281.60375729974965 0 0
38 138.29070631013383 138.29070631013383 0 0
39 227.0128506711596 227.0128506711596 9.743408406405962 1
40 304.8857354239695 304.8857354239695 0 1
41 47.33628033189413 47.33628033189413 0 0
42 324.19894333979744 324.19894333979744 0 1
43 78.6607777225977 78.6607777225977 0 1
44 347.45847161617894 347.45847161617894 3.062843687289501 1
45 313.4004286069327 313.4004286069327 0 0
46 134.3855814721805 134.3855814721805 0 1
47 191.64696205168414 191.64696205168414 0 1
48 334.32456011702396 334.32456011702396 0.6387837967213841 1
49 62.6607777225977 62.6607777225977 0 1
