The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    17   34   36   10   38   48   28   16   47   21   39   14   3    42
27   32   37   8    9    40   1    29   6    15   43   7    18   2    19;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    44   32   41   10   22   45   28   49   6    31   18   4    19
23   17   30   36   13   38   1    46   16   11   7    5    2    35
27   33   37   24   9    40   26   29   25   21   20   3    12;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 378.8955328640549 378.8955328640549 0 1
1 175.75338771145348 175.75338771145348 0 1
2 329.68177004817557 329.68177004817557 1.230138435976471 1
3 308.6526417389758 308.6526417389758 0 1
4 314.67343902837194 314.67343902837194 0 0
5 297.6449623880658 297.6449623880658 0 0
6 225.2456626457055 225.2456626457055 0 1
7 270.9682237033679 270.9682237033679 0.49874242847658934 1
8 106.28394683346181 106.28394683346181 0 1
9 134.72247993999207 134.72247993999207 0.5460201775923395 1
10 117.14707339647332 117.14707339647332 3.583016673730981 1
11 241.43979738640715 241.43979738640715 0 0
12 335.70256733757174 335.70256733757174 0 0
13 126.66022219169353 126.66022219169353 0 0
14 285.2860447666443 285.2860447666443 0 1
15 241.3783007971246 241.3783007971246 0 1
16 209.4342743448636 209.4342743448636 0.0263033008750142 1
17 36.180475414202405 36.180475414202405 0 1
18 292.4971473175723 292.4971473175723 0 1
19 345.0031049564409 345.0031049564409 0.7883342626159333 1
20 278.0745589051439 278.0745589051439 0 0
21 250.0711356372232 250.0711356372232 0.8825851641919371 1
22 138.2580138459248 138.2580138459248 0 0
23 12.972841923014336 12.972841923014336 0 0
24 108.900862145238 108.900862145238 0 0
25 220.16972962165556 220.16972962165556 0 0
26 179.78451658560277 179.78451658560277 0 0
27 21.180475414202405 21.180475414202405 0 1
28 184.97293216874638 184.97293216874638 0 1
29 200.86396729867107 200.86396729867107 1.6783647263727914 1
30 71.35504008812552 71.35504008812552 0 0
31 259.2635237926483 259.2635237926483 0 0
32 56.280226656444185 56.280226656444185 0 1
33 42.98121066857013 42.98121066857013 0 0
34 76.52868338776076 76.52868338776076 0 1
35 352.10944015821684 352.10944015821684 0 0
36 104.86973327108872 104.86973327108872 0 1
37 79.86973327108872 79.86973327108872 1.1049819058281685 1
38 151.83972270861577 151.83972270861577 0 1
39 267.30720361472294 267.30720361472294 0 1
40 158.24284694604862 158.24284694604862 0 1
41 92.48916273521269 92.48916273521269 0 0
42 334.78078956176836 334.78078956176836 0 1
43 265.07113563722316 265.07113563722316 0 1
44 27.011427309047704 27.011427309047704 0 0
45 166.97497154433512 166.97497154433512 0 0
46 192.13184270038457 192.13184270038457 0 0
47 231.32842517600372 231.32842517600372 0 1
48 171.2812517564539 171.2812517564539 0 1
49 203.41347705546747 203.41347705546747 0 0
