The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    13   18   12   46   9    27   17   47   28   26   49   43
22   3    23   19   36   5    14   40   35   37   7    15   38;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    4    3    16   12   2    36   6    17   41   35   25   7    8    38
32   13   31   23   48   46   24   27   20   47   44   26   29   15   21
22   45   18   10   19   1    5    11   40   30   37   42   49   33;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (12,39,12) (14,34,14);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 429.8161405262621 429.8161405262621 1.1322533035586844 1
1 154.88733870695435 154.88733870695435 0 0
2 149.29644768500884 149.29644768500884 0 0
3 43.035326751060545 43.035326751060545 0 1
4 24.138622168890137 24.138622168890137 0 0
5 173.25665558380732 173.25665558380732 0 1
6 184.66936779432064 184.66936779432064 0 0
7 341.64308688932726 341.64308688932726 0.7495908036211176 1
8 369.60553791890914 369.60553791890914 0 0
9 167.25665558380732 167.25665558380732 0 1
10 89.47913583085447 89.47913583085447 0 0
11 204.24914249545864 204.24914249545864 0 0
12 113.06408866099599 117.53622461599556 4.47213595499958 1
13 31.373422961369943 31.373422961369943 0 1
14 204.40570609333625 215.719414592321 11.313708498984761 1
15 374.2457205594321 374.2457205594321 0 1
16 72.25452865722032 72.25452865722032 0 0
17 223.33518769818488 223.33518769818488 0 1
18 64.62235989598345 64.62235989598345 0 1
19 144.99528505148754 144.99528505148754 0 1
20 229.4179502284831 229.4179502284831 0 0
21 413.0903223987387 413.0903223987387 0 0
22 16.076364420591588 16.076364420591588 0 1
23 75.0829557819665 75.0829557819665 0.6117380841869533 1
24 167.95471624257118 167.95471624257118 0 0
25 311.0413743542528 311.0413743542528 0 0
26 327.8550912753008 327.8550912753008 0 1
27 196.3434483450377 196.3434483450377 0 1
28 297.7951631030175 297.7951631030175 0 1
29 352.60894298905794 352.60894298905794 0 0
30 262.3663241139416 262.3663241139416 0 0
31 52.58781333833194 52.58781333833194 0 0
32 8.370838290769262 8.370838290769262 0 0
33 381.0464558137998 381.0464558137998 0 0
34 210.06256034282862 210.06256034282862 0 0
35 268.0630256083805 268.0630256083805 0 1
36 159.010444332572 159.010444332572 2.42997469529476 1
37 302.7951631030175 302.7951631030175 0 1
38 405.9314118671005 405.9314118671005 0 1
39 115.30015663849578 115.30015663849578 0 0
40 234.73694194917627 234.73694194917627 0 1
41 244.6993713717619 244.6993713717619 0 0
42 332.1562539088221 332.1562539088221 0 0
43 389.37846650985364 389.37846650985364 0 1
44 290.45163878561857 290.45163878561857 0 0
45 37.949896180352894 37.949896180352894 0 0
46 152.33782895015796 152.33782895015796 1.2597813683721881 1
47 259.8168143571452 259.8168143571452 0 1
48 120.45170056341821 120.45170056341821 0 0
49 362.0391649436984 362.0391649436984 0 1
