The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    6    1    17   15   14   29   47   4    44   23   30   43   13   32
7    35   42   3    26   2    31   8    41   45   33   39   49   28   46;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    27   1    11   15   36   31   21   41   19   30   34   49   25
48   35   16   3    20   2    9    4    12   33   38   43   37
6    5    17   40   14   18   47   10   44   24   39   22   32;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 370.45559811251303 370.45559811251303 0.34082044688972246 1
1 58.74111105795969 58.74111105795969 0 1
2 141.06520600192516 141.06520600192516 0 1
3 94.85869248044953 94.85869248044953 0 1
4 175.02431557829038 175.02431557829038 0.25520256780666273 1
5 50.26844095072862 50.26844095072862 0 0
6 22.165133935084572 22.165133935084572 0 1
7 4.960483400999318 4.960483400999318 0 1
8 172.76911301048372 172.76911301048372 0 1
9 158.7434597692361 158.7434597692361 0 0
10 185.02431557829038 185.02431557829038 0 0
11 81.47853474940351 81.47853474940351 0 0
12 203.1847753416562 203.1847753416562 0 0
13 309.1197726977051 309.1197726977051 0 1
14 131.06520600192516 131.06520600192516 0 1
15 106.18964437529483 106.18964437529483 0.1506120073463535 1
16 66.50319840608971 66.50319840608971 0 0
17 74.26743219847553 74.26743219847553 0 1
18 146.014953470231 146.014953470231 0 0
19 222.36028217157812 222.36028217157812 0 0
20 112.51419969563159 112.51419969563159 0 0
21 170.75231370563162 170.75231370563162 0 0
22 299.54870488583964 299.54870488583964 0 0
23 221.77645401224993 221.77645401224993 0 1
24 245.83024295819803 245.83024295819803 0 0
25 350.7852691273098 350.7852691273098 0 0
26 113.26071218716031 113.26071218716031 0 1
27 28.017483890444385 28.017483890444385 0 0
28 310.5339862600782 310.5339862600782 0 1
29 143.06520600192516 143.06520600192516 0 1
30 254.50494996459818 254.50494996459818 0 1
31 157.6254257804862 157.6254257804862 0 0.9999999829273062
32 329.56028385051866 329.56028385051866 0 1
33 233.48115392296955 233.48115392296955 0 1
34 290.12727314429117 290.12727314429117 0 0
35 34.971382409950266 34.971382409950266 0 1
36 133.98068194934783 133.98068194934783 0 0
37 311.38947573197436 311.38947573197436 0 0
38 262.56720771289673 262.56720771289673 0 0
39 278.3586708483513 278.3586708483513 0 1
40 100.68964437529483 100.68964437529483 0 0
41 200.6847753416562 200.6847753416562 0.4216008351178857 1
42 66.02122094724021 66.02122094724021 0 1
43 296.38642722567124 296.38642722567124 0 1
44 211.73013635884348 211.73013635884348 0 1
45 219.54038603475013 219.54038603475013 0 1
46 341.60187842931094 341.60187842931094 0 1
47 167.11225876099135 167.11225876099135 0 0.9999999832774837
48 5.980771884972382 5.980771884972382 0 0
49 302.04870488583964 302.04870488583964 3.4262096826686275 1
