The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    47   10   12   13   31   4    3    28   17   37   49   8    24
44   7    16   33   21   19   20   27   42   2    9    36   43   38;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    23   7    35   12   29   21   25   20   41   42   14   9    1    38
5    47   18   16   46   13   11   4    39   27   22   2    30   24   15
44   48   10   34   33   6    31   45   3    32   17   26   8    40;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 431.6007194754777 431.6007194754777 0 1
1 370.8165525269752 370.8165525269752 0 0
2 311.75419535250114 311.75419535250114 0 1
3 226.45928893485836 226.45928893485836 0 1
4 190.71574984721414 190.71574984721414 3.120903244045678 1
5 15.055999748795209 15.055999748795209 0 0
6 161.7870536481229 161.7870536481229 0 0
7 63.95578536115771 63.95578536115771 0.8666426223728934 1
8 360.70467831889687 360.70467831889687 1.3401496052373432 1
9 331.4384283915348 331.4384283915348 0 1
10 85.0508084708867 85.0508084708867 0 1
11 174.60858619188676 174.60858619188676 0 0
12 117.09616948807395 117.09616948807395 0 1
13 158.43295168187322 158.43295168187322 0.1265814619223704 1
14 300.9284383380581 300.9284383380581 0 0
15 425.01052589957027 425.01052589957027 0 0
16 106.0508084708867 106.0508084708867 0 1
17 290.7303993108725 290.7303993108725 0 1
18 73.9682775584081 73.9682775584081 0 0
19 183.4717409775508 183.4717409775508 0 1
20 215.4139279176711 215.4139279176711 0 1
21 167.80785093751905 167.80785093751905 3.0503439353090585 1
22 275.40927204823356 275.40927204823356 0 0
23 39.772402263757826 39.772402263757826 0 0
24 397.4961001643789 397.4961001643789 0 1
25 187.11019857175015 187.11019857175015 0 0
26 318.4623992850005 318.4623992850005 0 0
27 243.25367128144342 243.25367128144342 0.1510653694918176 1
28 254.02400089571242 254.02400089571242 0 1
29 147.4215939091006 147.4215939091006 0 0
30 345.3668166687189 345.3668166687189 0 0
31 180.30946331738244 180.30946331738244 0.29505676412969706 1
32 258.8821708895312 258.8821708895312 0 0
33 139.9215939091006 139.9215939091006 0 1
34 112.41476950156562 112.41476950156562 0 0
35 92.43322000100339 92.43322000100339 0 0
36 344.5997056534261 344.5997056534261 0 1
37 317.83695788279937 317.83695788279937 0 1
38 421.2026393466383 421.2026393466383 0 1
39 219.01947919313508 219.01947919313508 0 0
40 411.5762280047076 411.5762280047076 0 0
41 234.5215466831569 234.5215466831569 0 0
42 268.8900696430309 268.8900696430309 0 1
43 367.41288225139624 367.41288225139624 0 1
44 30.064158344284028 30.064158344284028 0 1
45 199.71574984721414 199.71574984721414 0 0
46 125.1584272363725 125.1584272363725 0 0
47 50.089142738784815 50.089142738784815 0 1
48 55.67931268253429 55.67931268253429 0 0
49 336.5374479051276 336.5374479051276 0 1
