The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    35   17   15   36   29   47   4    44   23   30   43   22   1
6    16   3    26   2    31   8    41   45   33   39   49   5    46;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    27   17   40   36   18   47   10   44   24   39   13   22   42   46
7    35   11   15   14   31   21   41   19   30   34   49   37   1    48
6    25   3    20   2    9    4    12   33   38   43   28   5    32;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 371.66696806051806 371.66696806051806 0 1
1 322.53854069611737 322.53854069611737 0.9412175781615701 1
2 128.3977736239994 128.3977736239994 0 1
3 84.02577106131221 84.02577106131221 0 1
4 162.35688320036462 162.35688320036462 0.25520256780666273 1
5 314.5973231179558 314.5973231179558 2.2187054301747935 1
6 21.604466262843875 21.604466262843875 0 1
7 2.480241700499659 2.480241700499659 0 0
8 160.10168063255796 160.10168063255796 0 1
9 146.07602739131033 146.07602739131033 0 0
10 172.35688320036462 172.35688320036462 0 0
11 70.64561333026619 70.64561333026619 0 0
12 190.51734296373044 190.51734296373044 0 0
13 288.32876707639196 288.32876707639196 0 0
14 117.38486129423794 117.38486129423794 0 0
15 95.35672295615751 95.35672295615751 0.1506120073463535 1
16 55.43451077933821 55.43451077933821 0 1
17 63.43451077933821 63.43451077933821 0 1
18 133.34752109230524 133.34752109230524 0 0
19 209.69284979365236 209.69284979365236 0 0
20 101.68127827649427 101.68127827649427 0 0
21 158.08488132770586 158.08488132770586 0 0
22 300.7167138980904 300.7167138980904 3.852412915765683 1
23 209.10902163432417 209.10902163432417 0 1
24 233.16281058027226 233.16281058027226 0 0
25 41.84374911136882 41.84374911136882 0 0
26 102.42779076802299 102.42779076802299 0 1
27 27.456816218203688 27.456816218203688 0 0
28 296.106941669444 296.106941669444 0 0
29 130.3977736239994 130.3977736239994 0 1
30 241.83751758667242 241.83751758667242 0 1
31 144.95799340256045 144.95799340256045 0 1
32 329.8186505853979 329.8186505853979 0 0
33 220.8137215450438 220.8137215450438 0 1
34 277.4598407663654 277.4598407663654 0 0
35 34.41071473770957 34.41071473770957 0 1
36 114.46938534681529 114.46938534681529 0 1
37 308.2333620872769 308.2333620872769 0 0
38 249.89977533497097 249.89977533497097 0 0
39 265.69123847042556 265.69123847042556 0 1
40 89.85672295615751 89.85672295615751 0 0
41 188.01734296373044 188.01734296373044 0.4216008351178857 1
42 318.8984857514771 318.8984857514771 0 0
43 283.71899484774553 283.71899484774553 0 1
44 199.06270398091772 199.06270398091772 0 1
45 206.87295365682436 206.87295365682436 0 1
46 343.1540688242057 343.1540688242057 0 1
47 154.4448263830656 154.4448263830656 0 1
48 357.29620444793665 357.29620444793665 0 0
49 291.8643009823247 291.8643009823247 5.909238157079415 1
