The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    17   22   12   29   27   23   35   2    7    8    4    39   40   18
44   14   47   1    41   13   26   9    11   16   28   10   46   21;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    17   22   32   1    45   13   33   9    31   7    19   10   5    18
25   36   48   12   3    27   15   35   43   11   6    4    42   21   20
44   14   47   37   29   49   26   30   2    34   28   24   46   38;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 444.3310386427632 444.3310386427632 0 1
1 108.00479297886525 108.00479297886525 0 1
2 230.4436170981456 230.4436170981456 0 1
3 119.05015399605252 119.05015399605252 0 0
4 333.7142034887528 333.7142034887528 0.7786243361974812 1
5 381.5004732579486 381.5004732579486 0 0
6 299.10528861765897 299.10528861765897 0 0
7 290.85907736642366 290.85907736642366 0 1
8 302.47132995598236 302.47132995598236 0 1
9 227.28133943797724 227.28133943797724 0 1
10 356.5850974231087 356.5850974231087 1.2838607894330494 1
11 256.84437466303376 256.84437466303376 0 1
12 95.00479297886525 95.00479297886525 1.8948334875775004 1
13 174.08087249567075 174.08087249567075 0 1
14 58.53612137503599 58.53612137503599 0 1
15 180.4839967331036 180.4839967331036 0 0
16 301.05711639360925 301.05711639360925 0 1
17 30.375865694378543 30.375865694378543 0 1
18 415.28961986576684 415.28961986576684 0 1
19 328.0133263632571 328.0133263632571 0 0
20 426.7023320762802 426.7023320762802 0 0
21 396.2633222753264 396.2633222753264 0 1
22 59.53612137503599 59.53612137503599 0 1
23 184.85120210993975 184.85120210993975 0 1
24 349.784362168741 349.784362168741 0 0
25 10.720084956170236 10.720084956170236 0 0
26 197.85120210993975 197.85120210993975 0 1
27 158.84932628394293 158.84932628394293 0 1
28 319.9355791525553 319.9355791525553 0 1
29 136.43013378596905 136.43013378596905 0 1
30 223.5160883100705 223.5160883100705 0 0
31 244.30904172200766 244.30904172200766 0 0
32 88.04059884027319 88.04059884027319 0 0
33 204.03586054836623 204.03586054836623 0 0
34 259.84437466303376 259.84437466303376 0 0
35 216.23597842079 216.23597842079 0 1
36 46.266114276449244 46.266114276449244 0 0
37 99.74820946911782 99.74820946911782 0 0
38 406.18803889596603 406.18803889596603 0 0
39 365.64048256124613 365.64048256124613 0 1
40 394.02725429782663 394.02725429782663 0 1
41 148.79945066282204 148.79945066282204 0 1
42 364.7245077211586 364.7245077211586 0 0
43 228.78133943797724 228.78133943797724 0 0
44 25.903729739378964 25.903729739378964 0 1
45 144.91541516020763 144.91541516020763 0 0
46 372.4865950692886 372.4865950692886 0.5215571877057528 1
47 70.30645098930499 70.30645098930499 0 1
48 65.55691866443213 65.55691866443213 0 0
49 164.8908492707402 164.8908492707402 0 0
