The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    29   38   2    48   45   20   7    5    18   17   33   25   22
49   34   1    35   16   44   6    13   36   3    15   24   32;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    46   34   37   35   30   45   20   21   13   8    18   17   12   24   40
31   29   27   2    9    16   26   19   7    47   36   10   4    33   23   22
49   11   38   41   48   42   44   6    28   5    43   3    15   39   25   14;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 424.6059973650906 424.6059973650906 0 1
1 90.61556636124533 90.61556636124533 0 1
2 92.02977992361842 92.02977992361842 0 1
3 303.16188229878423 303.16188229878423 0 1
4 315.91404076171534 315.91404076171534 0 0
5 251.5868615113845 251.5868615113845 0 1
6 207.89387734992658 207.89387734992658 0 1
7 229.29481190895928 229.29481190895928 0 1
8 262.59821928415715 262.59821928415715 0 0
9 111.54898232882107 111.54898232882107 0 0
10 297.75188974050485 297.75188974050485 0 0
11 37.96641009951751 37.96641009951751 0 0
12 329.36637326208927 329.36637326208927 0 0
13 239.92495772169391 239.92495772169391 0 1
14 397.0918651162505 397.0918651162505 0 0
15 321.54013534084 321.54013534084 0 1
16 144.25944313063928 144.25944313063928 1.219792406662009 1
17 312.1061542087834 312.1061542087834 0 1
18 292.53173648604957 292.53173648604957 0 1
19 191.51267839735544 191.51267839735544 0 0
20 183.68644047610618 183.68644047610618 0 1
21 218.81404218384736 218.81404218384736 0 0
22 393.4863138407865 393.4863138407865 0 1
23 366.73222289707866 366.73222289707866 0 0
24 360.0054108735418 360.0054108735418 0.6904285674146422 1
25 375.6578867160403 375.6578867160403 0 1
26 161.713067177713 161.713067177713 0 0
27 55.26127995398661 55.26127995398661 0 0
28 234.70313882215527 234.70313882215527 0 0
29 30.53337572585826 30.53337572585826 1.2396983976821367 1
30 131.51189434665733 131.51189434665733 0 0
31 14.26861673133646 14.26861673133646 0 0
32 378.4863138407865 378.4863138407865 0 1
33 339.21523106388537 339.21523106388537 2.1509210267853405 1
34 49.671110010237136 49.671110010237136 1.1099779070589264 1
35 105.02977992361842 105.02977992361842 0 1
36 278.2139154227732 278.2139154227732 0 1
37 79.22878717099015 79.22878717099015 0 0
38 69.52054325151634 69.52054325151634 0 1
39 351.9431531252432 351.9431531252432 0 0
40 379.2634379915043 379.2634379915043 0 0
41 98.29476196668925 98.29476196668925 0 0
42 153.86412948678856 153.86412948678856 0 0
43 278.7139154227732 278.7139154227732 0 0
44 173.83758267431008 173.83758267431008 0 1
45 157.713067177713 157.713067177713 0 1
46 29.119162163485164 29.119162163485164 0 0
47 242.42495772169391 242.42495772169391 0 0
48 125.01189434665733 125.01189434665733 1.954358045718962 1
49 27.057609350676334 27.057609350676334 0 1
