The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    16   24   13   15   7    47   39   10   9    40   48   44   35
14   43   21   46   8    3    32   27   1    33   42   25   28   18;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    41   43   30   13   38   7    36   27   26   9    40   2    44   23   18
4    16   11   21   31   15   20   32   12   1    37   45   48   5    35
14   49   24   6    46   29   3    17   10   22   33   42   34   28   19;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 430.85437319588675 430.85437319588675 0 1
1 276.9817813773228 276.9817813773228 0 1
2 332.8899240769647 332.8899240769647 0 0
3 199.69578592483248 199.69578592483248 0 1
4 19.087660735442135 19.087660735442135 0 0
5 359.3092199051388 359.3092199051388 0 0
6 116.953476622655 116.953476622655 0 0
7 185.55365030110153 185.55365030110153 0 1
8 172.21198623697518 172.21198623697518 0 1
9 283.5710267592004 283.5710267592004 1.2040805747430454 1
10 255.34847372453888 255.34847372453888 0 1
11 82.18377050564781 82.18377050564781 0 0
12 252.0390037440331 252.0390037440331 0 0
13 128.4968730032702 128.4968730032702 0.5086220523722176 1
14 33.60955942312049 33.60955942312049 0 1
15 166.82682142984066 166.82682142984066 0 1
16 53.307275026712695 53.307275026712695 0 1
17 224.6253374534772 224.6253374534772 0 0
18 415.1375223281166 415.1375223281166 0 1
19 386.3294837059108 386.3294837059108 0 0
20 187.67497064466116 187.67497064466116 0 0
21 108.75286688922664 108.75286688922664 6.5124921972503955 1
22 281.50947394639155 281.50947394639155 0 0
23 372.86326404378434 372.86326404378434 0 0
24 92.24037469197624 92.24037469197624 0 1
25 343.32295845062396 343.32295845062396 0 1
26 261.6134557676097 261.6134557676097 0 0
27 243.3068791457466 243.3068791457466 4.399789739942349 1
28 363.9189921337852 363.9189921337852 0.16649204301927512 1
29 173.49765346190384 173.49765346190384 0 0
30 98.74037469197624 98.74037469197624 0 0
31 133.9968730032702 133.9968730032702 0 0
32 215.61145926481723 215.61145926481723 0 1
33 301.0352759557734 301.0352759557734 0 1
34 347.7559928242832 347.7559928242832 0 0
35 381.1816686354173 381.1816686354173 0 1
36 208.19578592483248 208.19578592483248 0 0
37 287.60215563334964 287.60215563334964 0 0
38 146.96221761978458 146.96221761978458 0 0
39 228.61145926481723 228.61145926481723 0 1
40 310.8841337575695 310.8841337575695 0 1
41 46.22898888724445 46.22898888724445 0 0
42 330.19734167339743 330.19734167339743 0 1
43 73.0049906303049 73.0049906303049 0 1
44 353.45686994977893 353.45686994977893 3.062843687289501 1
45 319.3988269405327 319.3988269405327 0 0
46 143.05709278183124 143.05709278183124 0 1
47 204.79480543842527 204.79480543842527 0 1
48 340.32295845062396 340.32295845062396 0.6387837967213841 1
49 57.430380652330356 57.430380652330356 0 0
