The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    13   18   19   2    36   5    27   40   35   44   42   49   43
22   3    23   12   46   9    24   17   47   37   25   7    15   38;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    45   3    16   12   1    9    11   17   34   35   28   7    8    38
32   13   31   19   39   46   6    27   20   47   41   25   29   15   21
22   4    18   48   2    10   24   14   40   30   37   26   49   33;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 446.55037686333435 446.55037686333435 1.1322533035586844 1
1 154.5294314541414 154.5294314541414 0 0
2 153.4113974653915 153.4113974653915 0 1
3 43.035326751060545 43.035326751060545 0 1
4 33.92293271816634 33.92293271816634 0 0
5 177.98301193404433 177.98301193404433 0 1
6 185.107416682451 185.107416682451 0 0
7 358.37732322639954 358.37732322639954 0 1
8 386.3397742559814 386.3397742559814 0 0
9 171.98301193404433 171.98301193404433 0 1
10 167.27233458874176 167.27233458874176 0 0
11 205.29714072382413 205.29714072382413 0 0
12 124.29095790826942 124.29095790826942 0 1
13 31.373422961369943 31.373422961369943 0 1
14 218.33756263438136 218.33756263438136 0 0
15 390.97995689650435 390.97995689650435 0 1
16 72.25452865722032 72.25452865722032 0 0
17 227.90790426896754 227.90790426896754 0 1
18 64.62235989598345 64.62235989598345 0 1
19 96.83189747277746 96.83189747277746 0 1
20 233.99066679926577 233.99066679926577 0 0
21 429.82455873581097 429.82455873581097 0 0
22 16.076364420591588 16.076364420591588 0 1
23 74.47121769777955 74.47121769777955 0 1
24 191.83422870598787 191.83422870598787 3.6531777447579827 1
25 320.3773596749488 320.3773596749488 0 1
26 333.53030611291473 333.53030611291473 0 0
27 214.3064337602321 214.3064337602321 0 1
28 304.81738633847476 304.81738633847476 0 0
29 369.3431793261302 369.3431793261302 0 0
30 266.9390406847242 266.9390406847242 0 0
31 52.58781333833194 52.58781333833194 0 0
32 8.370838290769262 8.370838290769262 0 0
33 397.7806921508721 397.7806921508721 0 0
34 251.35125309875122 251.35125309875122 0 0
35 272.6357421791631 272.6357421791631 0 1
36 163.73680068280902 163.73680068280902 0 1
37 302.31738633847476 302.31738633847476 0 1
38 422.6656482041728 422.6656482041728 0 1
39 126.5270258857692 126.5270258857692 0 0
40 239.30965851995893 239.30965851995893 0 1
41 280.1523903683496 280.1523903683496 0 0
42 339.40365726538926 339.40365726538926 0 1
43 406.1127028469259 406.1127028469259 0 1
44 317.5489325502026 317.5489325502026 0 1
45 24.276974154019953 24.276974154019953 0 0
46 159.49415999568973 159.49415999568973 0 1
47 264.3895309279278 264.3895309279278 0 1
48 113.47521444987069 113.47521444987069 0 0
49 378.77340128077066 378.77340128077066 0 1
