The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    42   7    15   19   4    49   33   43   44   8    32   41   3    26
2    14   24   17   20   39   22   35   40   31   30   10   1    21;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    16   14   18   17   23   4    28   40   12   32   11   1    46
45   42   48   15   36   20   13   43   9    30   27   41   34   21
2    5    7    47   19   29   35   6    8    38   10   37   3    25;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 409.1317201798257 409.1317201798257 0 1
1 348.6028916390665 348.6028916390665 0 1
2 32.08660485242805 32.08660485242805 0 1
3 357.3581620217689 357.3581620217689 0.1529451156598043 1
4 163.60120465747895 163.60120465747895 0 1
5 43.16541885946632 43.16541885946632 0 0
6 228.9410829110438 228.9410829110438 0 0
7 67.4673712227003 67.4673712227003 0 1
8 267.7526337392808 267.7526337392808 0.877035532362072 1
9 252.05231527117317 252.05231527117317 0 0
10 303.5573703861107 303.5573703861107 0 1
11 306.7196480462791 306.7196480462791 0 0
12 269.33377256936495 269.33377256936495 0 0
13 182.3894988855349 182.3894988855349 0 0
14 48.866295984962015 48.866295984962015 0 1
15 84.69793662661988 84.69793662661988 1.3930269176843524 1
16 34.915031977174245 34.915031977174245 0 0
17 113.5596760059435 113.5596760059435 4.820108818981012 1
18 79.47778337216461 79.47778337216461 0 0
19 132.9761638448911 132.9761638448911 0 1
20 141.57848911193372 141.57848911193372 0 1
21 376.5935460834403 376.5935460834403 0 1
22 186.74346453456897 186.74346453456897 0 1
23 136.58171512035508 136.58171512035508 0 0
24 69.70343920020008 69.70343920020008 0 1
25 383.32035810697715 383.32035810697715 0 0
26 386.6434217045612 386.6434217045612 0 1
27 287.2865242875019 287.2865242875019 0 0
28 211.05988760379824 211.05988760379824 0 0
29 146.96365391906824 146.96365391906824 0 0
30 272.2247696942804 272.2247696942804 0 1
31 254.069349732053 254.069349732053 0 1
32 280.71005106851896 280.71005106851896 0 1
33 203.86070730319267 203.86070730319267 0 1
34 355.12209404426915 355.12209404426915 0 0
35 206.31647111354567 206.31647111354567 0.21969583285320482 1
36 119.66295381381035 119.66295381381035 0 0
37 334.1863662772725 334.1863662772725 0 0
38 277.2247696942804 277.2247696942804 0 0
39 173.65108027859984 173.65108027859984 0 1
40 230.0466341865078 230.0466341865078 0 1
41 329.5765940486261 329.5765940486261 0 1
42 37.464541733970634 37.464541733970634 0.27891736794979494 1
43 226.4410829110438 226.4410829110438 0 1
44 252.069349732053 252.069349732053 0 1
45 14.649086692694818 14.649086692694818 0 0
46 362.67323492813625 362.67323492813625 0 0
47 95.00570069066403 95.00570069066403 0 0
48 57.380989167925215 57.380989167925215 0 0
49 177.25663155406383 177.25663155406383 0 1
