The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    38   29   47   1    49   23   35   2    7    28   10   40   20
18   42   48   12   3    13   26   9    11   16   4    39   17;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    5    42   14   12   37   13   33   9    31   7    19   10   40   25
44   38   41   47   32   3    15   35   43   11   6    4    39   21
18   45   29   36   1    27   26   30   2    34   28   24   46   17;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (47,22,47) (16,8,16);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 468.49397007517 468.49397007517 0 1
1 162.52768946900872 162.52768946900872 3.358341252620022 1
2 259.59401290777754 259.59401290777754 0 1
3 184.61841150338324 184.61841150338324 0 1
4 362.163404716052 362.163404716052 0.7786243361974812 1
5 35.712250809059526 35.712250809059526 0 0
6 328.25568442729093 328.25568442729093 0 0
7 320.0094731760556 320.0094731760556 0 1
8 330.91461898442776 330.91461898442776 0 0
9 256.43173524760914 256.43173524760914 0 1
10 385.03429865040795 385.03429865040795 1.2838607894330494 1
11 285.9947704726657 285.9947704726657 0 1
12 146.1693482163887 146.1693482163887 0 1
13 203.23126830530262 203.23126830530262 0 1
14 106.74316014477714 106.74316014477714 0 0
15 209.63439254273547 209.63439254273547 0 0
16 330.2075122032412 331.6217257656143 1.4142135623730951 1
17 439.64097418091126 439.64097418091126 0 1
18 29.04141877699636 29.04141877699636 0 1
19 356.4625275905563 356.4625275905563 0 0
20 461.7769178020899 461.7769178020899 0 1
21 421.89104590554797 421.89104590554797 0 0
22 117.98067490727145 117.98067490727145 0 0
23 214.00159791957162 214.00159791957162 0 1
24 378.2335633960402 378.2335633960402 0 0
25 445.68249716770856 445.68249716770856 0 0
26 227.00159791957162 227.00159791957162 0 1
27 191.1376139085859 191.1376139085859 0 0
28 348.38478037985453 348.38478037985453 0 1
29 95.08125635508654 95.08125635508654 0 1
30 252.66648411970237 252.66648411970237 0 0
31 273.4594375316396 273.4594375316396 0 0
32 153.13354235498076 153.13354235498076 0 0
33 233.1862563579981 233.1862563579981 0 0
34 288.9947704726657 288.9947704726657 0 0
35 245.38637423042186 245.38637423042186 0 1
36 133.49006808006425 133.49006808006425 0 0
37 167.45211836990677 167.45211836990677 0 0
38 43.60163855555739 43.60163855555739 0 1
39 394.08968378854536 394.08968378854536 0 1
40 420.77301191679805 420.77301191679805 0 1
41 82.5213281828032 82.5213281828032 0 0
42 70.0213281828032 70.0213281828032 0 1
43 257.93173524760914 257.93173524760914 0 0
44 12.951864869689482 12.951864869689482 0 0
45 61.33578640652559 61.33578640652559 0 0
46 397.25196144871376 397.25196144871376 0 0
47 112.59551010013695 123.36583971440595 10.770329614269007 1
48 107.24678141568297 107.24678141568297 0 1
49 191.82951405431123 191.82951405431123 0 1
