The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    44   40   22   12   3    15   26   9    34   7    4    42   38
20   21   14   47   1    27   23   35   2    11   6    10   46   18;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    36   47   37   3    41   23   35   43   11   16   4    24   46   5
17   22   32   1    49   15   26   30   2    8    6    19   42   39   18
44   48   12   29   27   13   33   9    31   7    28   10   45   38   25;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 438.0045068266858 438.0045068266858 0 1
1 114.1372761570906 114.1372761570906 0 1
2 225.70032638081645 225.70032638081645 0 1
3 138.34994656064248 138.34994656064248 2.121948369177346 1
4 326.52174280416284 326.52174280416284 0 1
5 397.9384021770612 397.9384021770612 0 0
6 306.7227529309395 306.7227529309395 0 1
7 290.2303304284689 290.2303304284689 0 1
8 278.7378389841894 278.7378389841894 0 0
9 222.53804872064808 222.53804872064808 0 1
10 348.25383947153995 348.25383947153995 0.1450635224542225 1
11 256.215627725079 256.215627725079 0 1
12 101.1372761570906 101.1372761570906 1.8948334875775004 1
13 172.36890000631246 172.36890000631246 0 0
14 64.66860455326133 64.66860455326133 0 1
15 165.9657757688796 165.9657757688796 0.017204619270785315 1
16 295.3293499420617 295.3293499420617 0 0
17 14.307022508281374 14.307022508281374 0 0
18 408.9630880496895 408.9630880496895 0 1
19 332.22261992965855 332.22261992965855 0 0
20 6.7170522730801405 6.7170522730801405 0 1
21 43.644242347705614 43.644242347705614 0 1
22 65.66860455326133 65.66860455326133 0 1
23 180.10791139261056 180.10791139261056 0 1
24 355.0545747259077 355.0545747259077 0 0
25 421.22073872182074 421.22073872182074 0 0
26 193.10791139261056 193.10791139261056 0 1
27 151.38835137104778 151.38835137104778 0 1
28 316.2752395182109 316.2752395182109 0 0
29 128.34994656064248 128.34994656064248 0 0
30 218.7727975927413 218.7727975927413 0 0
31 239.5657510046785 239.5657510046785 0 0
32 94.17308201849853 94.17308201849853 0 0
33 199.29256983103704 199.29256983103704 0 0
34 250.21562772507897 250.21562772507897 0 1
35 211.4926877034608 211.4926877034608 0 1
36 44.021747334344134 44.021747334344134 0 0
37 105.88069264734317 105.88069264734317 0 0
38 394.40286827112845 394.40286827112845 0.13456127003610163 1
39 385.38899008246847 385.38899008246847 0 0
40 45.8803103252054 45.8803103252054 0 1
41 156.4132891816082 156.4132891816082 0 0
42 364.5677235211279 364.5677235211279 0.0350634534882488 1
43 224.03804872064808 224.03804872064808 0 0
44 25.952436334751482 25.952436334751482 0 1
45 369.5677235211279 369.5677235211279 0 0
46 382.22671242230007 382.22671242230007 2.134814204912118 1
47 76.43893416753033 76.43893416753033 0 1
48 71.68940184265747 71.68940184265747 0 0
49 141.95549783610647 141.95549783610647 0 0
