The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    29   38   2    48   45   20   7    5    43   3    15   24   32
49   34   1    35   16   44   6    13   36   18   17   33   25   22;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    46   34   37   35   30   45   19   7    28   36   10   33   23   22
31   29   27   2    9    16   26   6    47   5    4    17   39   25   14
49   11   38   41   48   42   44   21   13   8    3    12   24   40;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 423.5560499948391 423.5560499948391 0 1
1 90.61556636124533 90.61556636124533 0 1
2 92.02977992361842 92.02977992361842 0 1
3 303.772449512692 303.772449512692 0 1
4 296.11642921274137 296.11642921274137 0 0
5 251.5868615113845 251.5868615113845 0 1
6 207.89387734992658 207.89387734992658 0 1
7 229.29481190895928 229.29481190895928 0 1
8 262.59821928415715 262.59821928415715 0 0
9 111.54898232882107 111.54898232882107 0 0
10 306.6879254601146 306.6879254601146 0 0
11 37.96641009951751 37.96641009951751 0 0
12 325.31084630222745 325.31084630222745 0 0
13 239.92495772169391 239.92495772169391 0 1
14 396.041917745999 396.041917745999 0 0
15 322.64110899737386 322.64110899737386 0 1
16 144.25944313063928 144.25944313063928 1.219792406662009 1
17 313.20712786531726 313.20712786531726 0.4904064426261243 1
18 293.1423036999573 293.1423036999573 0 1
19 185.87917725310237 185.87917725310237 0 0
20 183.68644047610618 183.68644047610618 0 1
21 218.81404218384736 218.81404218384736 0 0
22 392.436366470535 392.436366470535 0 1
23 365.68227552682714 365.68227552682714 0 0
24 358.9554635032903 358.9554635032903 0.6904285674145854 1
25 374.6079393457888 374.6079393457888 0 1
26 161.713067177713 161.713067177713 0 0
27 55.26127995398661 55.26127995398661 0 0
28 240.63206450288047 240.63206450288047 0 0
29 30.53337572585826 30.53337572585826 1.2396983976821367 1
30 131.51189434665733 131.51189434665733 0 0
31 14.26861673133646 14.26861673133646 0 0
32 377.436366470535 377.436366470535 0 1
33 338.1652836936339 338.1652836936339 0 1
34 49.671110010237136 49.671110010237136 1.1099779070589264 1
35 105.02977992361842 105.02977992361842 0 1
36 278.2139154227732 278.2139154227732 0 1
37 79.22878717099015 79.22878717099015 0 0
38 69.52054325151634 69.52054325151634 0 1
39 350.89320575499175 350.89320575499175 0 0
40 378.2134906212528 378.2134906212528 0 0
41 98.29476196668925 98.29476196668925 0 0
42 153.86412948678856 153.86412948678856 0 0
43 279.2139154227732 279.2139154227732 0 1
44 173.83758267431008 173.83758267431008 0 1
45 157.713067177713 157.713067177713 0 1
46 29.119162163485164 29.119162163485164 0 0
47 236.50591445988726 236.50591445988726 0 0
48 125.01189434665733 125.01189434665733 1.954358045718962 1
49 27.057609350676334 27.057609350676334 0 1
