The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    35   44   48   40   33   37   20   3    32   46   31   24   16
18   28   25   42   26   1    8    7    47   36   13   21   43   14;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    23   44   2    40   10   1    29   20   3    17   13   30   43   41
19   28   34   42   12   33   22   8    7    39   46   6    24   49   14
35   5    48   45   26   9    37   15   27   32   38   21   11   16   4;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 428.2514423603635 428.2514423603635 0 1
1 167.02700614689024 167.02700614689024 0 1
2 97.96444911892199 97.96444911892199 0 0
3 233.07260060606487 233.07260060606487 0 1
4 400.64188293724305 400.64188293724305 0 0
5 71.54515329074798 71.54515329074798 0 0
6 309.22531802536014 309.22531802536014 0 0
7 218.93046498233392 218.93046498233392 0 1
8 203.02592050552403 203.02592050552403 0 1
9 162.34272288017797 162.34272288017797 0 0
10 144.12376530138636 144.12376530138636 0 0
11 344.2116774018156 344.2116774018156 0 0
12 131.25075361099567 131.25075361099567 0 0
13 297.68192164474493 297.68192164474493 0 1
14 394.64188293724305 394.64188293724305 0 1
15 205.71850290909128 205.71850290909128 0 0
16 374.94416733365085 374.94416733365085 0 1
17 258.0021521347096 258.0021521347096 0 0
18 15.71685086777017 15.71685086777017 0 1
19 20.714713411001803 20.714713411001803 0 0
20 214.68782429521463 214.68782429521463 0 1
21 319.4985754711369 319.4985754711369 0 1
22 171.55469871595895 171.55469871595895 0 0
23 55.19538506906309 55.19538506906309 0 0
24 336.0110676683873 336.0110676683873 6.512492197250367 1
25 84.46857105797326 84.46857105797326 0 1
26 137.85878325831553 137.85878325831553 0 1
27 228.75390633452815 228.75390633452815 0 0
28 66.93538106210153 66.93538106210153 0 1
29 186.84807156988347 186.84807156988347 0 0
30 329.5110676683873 329.5110676683873 0 0
31 308.68192164474493 308.68192164474493 0 1
32 248.98827394604962 248.98827394604962 0 1
33 153.6105982818915 153.6105982818915 1.8593710341261556 1
34 83.09838037160348 83.09838037160348 0 0
35 49.67270456046946 49.67270456046946 0 1
36 262.02667875645494 262.02667875645494 0 1
37 175.51228752112883 175.51228752112883 0 1
38 287.02682670413725 287.02682670413725 0 0
39 238.17162011965766 238.17162011965766 0 0
40 119.97023943831721 119.97023943831721 0 1
41 381.7449025880186 381.7449025880186 0 0
42 100.65703152248925 100.65703152248925 0.6387837967213699 1
43 355.24645173005865 355.24645173005865 0 1
44 77.39750324610779 77.39750324610779 0.1664920430192609 1
45 111.2518415726978 111.2518415726978 0 0
46 283.1217018661839 283.1217018661839 0 1
47 238.17162011965766 238.17162011965766 0 1
48 90.53141474526274 90.53141474526274 3.0628436872894724 1
49 363.24645173005865 363.24645173005865 0 0
