The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    19   33   34   8    9    40   1    29   47   21   39   14   3
23   2    32   36   10   38   48   28   16   15   43   7    5    35;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    44   2    30   36   13   38   26   29   6    21   20   5    27
17   19   12   34   24   9    45   28   49   47   31   14   4
23   42   33   41   10   22   1    46   16   11   7    18   35;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (34,37,34) (15,25,15);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 388.14033661944205 388.14033661944205 0 1
1 201.4252400507985 201.4252400507985 0 1
2 46.25058897925866 46.25058897925866 0.5582963903253173 1
3 342.30583759160857 342.30583759160857 0 1
4 341.54447580140675 341.54447580140675 0 0
5 329.7758735054669 329.7758735054669 0 1
6 243.01182083462953 243.01182083462953 0 0
7 300.89900889499916 300.89900889499916 0.49874242847658934 1
8 131.95579917280682 131.95579917280682 0 1
9 160.39433227933708 160.39433227933708 0.5460201775923679 1
10 142.8189257358183 142.8189257358183 3.583016673730981 1
11 265.649369551046 265.649369551046 0 0
12 52.27138626865481 52.27138626865481 0 0
13 152.33207453103853 152.33207453103853 0 0
14 316.7374686950616 316.7374686950616 1.5206387367860543 1
15 259.1916711529477 272.1916711529477 13 1
16 235.1061266842086 235.1061266842086 0.0263033008750142 1
17 18.048666622539326 18.048666622539326 0 0
18 320.3430199705256 320.3430199705256 0 0
19 38.98408865643397 38.98408865643397 0 1
20 308.0053440967751 308.0053440967751 0 0
21 280.0019208288544 280.0019208288544 0 1
22 163.92986618526982 163.92986618526982 0 0
23 25.945683846028672 25.945683846028672 0 1
24 134.572714484583 134.572714484583 0 0
25 265.6916711529477 265.6916711529477 0 0
26 205.45636892494775 205.45636892494775 0 0
27 368.22227148178484 368.22227148178484 0 0
28 210.6447845080914 210.6447845080914 0 1
29 226.53581963801605 226.53581963801605 1.678364726372763 1
30 87.98402555255541 87.98402555255541 0 0
31 289.19430898427953 289.19430898427953 0 0
32 83.35888283116039 83.35888283116039 0 1
33 63.94239499221279 63.94239499221279 0 1
34 103.60733956247697 105.84340753997677 2.23606797749979 1
35 353.30583759160857 353.30583759160857 0 1
36 130.5415856104337 130.5415856104337 0 1
37 104.72537355122687 104.72537355122687 0 0
38 177.51157504796078 177.51157504796078 0 1
39 297.23798880635417 297.23798880635417 0 1
40 183.91469928539362 183.91469928539362 0 1
41 119.05325235359967 119.05325235359967 0 0
42 43.70107922246227 43.70107922246227 0 0
43 295.0019208288544 295.0019208288544 0 1
44 28.067004189588314 28.067004189588314 0 0
45 189.17347883765137 189.17347883765137 0 0
46 217.80369503972958 217.80369503972958 0 0
47 249.1417955318268 249.1417955318268 0 1
48 196.95310409579892 196.95310409579892 0 1
49 229.08532939481245 229.08532939481245 0 0
