The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    35   10   32   9    2    26   20   27   17   7    24   25   13
22   28   47   42   11   49   31   3    21   15   1    12   43;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    19   10   44   9    38   26   30   21   46   7    8    12   45
33   35   48   42   4    49   40   3    39   15   41   24   18   13
22   16   32   29   11   34   20   36   17   37   1    5    43   6;

The 3-tuple cycles in which the drone was involved:
set droneCycles := (17,14,17) (43,23,43);

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 418.14403918855527 418.14403918855527 0 1
1 274.1988533505792 274.1988533505792 5.700877125495708 1
2 126.39602040493405 126.39602040493405 0 1
3 172.18502108191197 172.18502108191197 0 1
4 109.64628453257696 109.64628453257696 0 0
5 318.81709045567106 318.81709045567106 0 0
6 405.14118826641254 405.14118826641254 0 0
7 263.3989567114907 263.3989567114907 0 1
8 295.42383862737034 295.42383862737034 0 0
9 103.12708212737431 103.12708212737431 0 1
10 61.60088568755961 61.60088568755961 0 1
11 122.15337971781476 122.15337971781476 0 1
12 334.154952105849 334.154952105849 2.9698993860647533 1
13 400.39777177615997 400.39777177615997 0 1
14 219.07951790450622 219.07951790450622 0 0
15 243.27434491399262 243.27434491399262 0 1
16 52.28254960652702 52.28254960652702 0 0
17 218.07951790450622 220.07951790450622 2 1
18 344.07966872648865 344.07966872648865 0 0
19 34.85445909615618 34.85445909615618 0 0
20 155.90620048581226 155.90620048581226 0 1
21 189.28715780673028 189.28715780673028 0 1
22 32.161876692588926 32.161876692588926 0 1
23 368.14504175905296 368.14504175905296 0 0
24 312.31709045567106 312.31709045567106 0 1
25 347.30789854381493 347.30789854381493 0 1
26 144.2229619798847 144.2229619798847 0 1
27 187.05108982923048 187.05108982923048 0 1
28 47.999415178824165 47.999415178824165 0 1
29 96.09614564907486 96.09614564907486 0 0
30 159.441734391745 159.441734391745 0 0
31 148.69509793488427 148.69509793488427 0 1
32 75.30558559827924 75.30558559827924 0 0.9999999986366156
33 20.94304804803271 20.94304804803271 0 0
34 142.16532373144102 142.16532373144102 0 0
35 45.76334720132437 45.76334720132437 0 1
36 176.30812670752962 176.30812670752962 0 0
37 254.24020101372327 254.24020101372327 0 0
38 128.00572967317459 128.00572967317459 0 0
39 208.742234265074 208.742234265074 0 0
40 148.12808681783804 148.12808681783804 0 0
41 269.0998338369864 269.0998338369864 0 0
42 87.89553591564649 87.89553591564649 3.987625050324624 1
43 365.9089737815532 370.38110973655273 4.47213595499958 1
44 83.36784334657779 83.36784334657779 0 0
45 374.28623457450607 374.28623457450607 0 0
46 225.2273329749997 225.2273329749997 0 0
47 63.60088568755961 63.60088568755961 0 1
48 67.86586773063044 67.86586773063044 0 0
49 139.1239424662919 139.1239424662919 0 1
