The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    16   24   13   15   20   3    32   27   1    33   42   25   28   18
14   43   21   46   8    7    47   39   10   9    40   48   44   35;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    41   43   30   13   31   20   36   10   22   33   42   34   28   19
4    16   11   21   38   15   17   27   26   9    40   2    44   23   18
14   49   24   6    46   29   32   12   1    37   45   48   5    35;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 429.01746386862783 429.01746386862783 0 1
1 275.14487205006395 275.14487205006395 0 1
2 331.05301474970577 331.05301474970577 0 0
3 202.25866633751602 202.25866633751602 0 1
4 19.087660735442135 19.087660735442135 0 0
5 357.47231057787985 357.47231057787985 0 0
6 116.953476622655 116.953476622655 0 0
7 188.11653071378507 188.11653071378507 0 1
8 172.21198623697518 172.21198623697518 0 1
9 281.7341174319415 281.7341174319415 1.2040805747430454 1
10 253.51156439728004 253.51156439728004 0 1
11 82.18377050564781 82.18377050564781 0 0
12 250.20209441677423 250.20209441677423 0 0
13 128.4968730032702 128.4968730032702 0.5086220523722176 1
14 33.60955942312049 33.60955942312049 0 1
15 166.82682142984066 166.82682142984066 0 1
16 53.307275026712695 53.307275026712695 0 1
17 207.2191250865233 207.2191250865233 0 0
18 413.30061300085765 413.30061300085765 0 1
19 384.49257437865185 384.49257437865185 0 0
20 183.87389002666578 183.87389002666578 0 1
21 108.75286688922664 108.75286688922664 6.5124921972503955 1
22 279.6725646191327 279.6725646191327 0 0
23 371.0263547165254 371.0263547165254 0 0
24 92.24037469197624 92.24037469197624 0 1
25 341.48604912336504 341.48604912336504 0 1
26 259.7765464403509 259.7765464403509 0 0
27 241.46996981848775 241.46996981848775 0 1
28 362.0820828065263 362.0820828065263 0.16649204301927512 1
29 173.49765346190384 173.49765346190384 0 0
30 98.74037469197624 98.74037469197624 0 0
31 150.8833307030805 150.8833307030805 0 0
32 218.17433967750077 218.17433967750077 0 1
33 299.19836662851446 299.19836662851446 0 1
34 345.9190834970243 345.9190834970243 0 0
35 379.34475930815836 379.34475930815836 0 1
36 224.69354208270343 224.69354208270343 0 0
37 285.7652463060908 285.7652463060908 0 0
38 138.0493595905416 138.0493595905416 0 0
39 231.17433967750077 231.17433967750077 0 1
40 309.04722443031056 309.04722443031056 0 1
41 46.22898888724445 46.22898888724445 0 0
42 328.3604323461385 328.3604323461385 0 1
43 73.0049906303049 73.0049906303049 0 1
44 351.61996062252 351.61996062252 3.062843687289501 1
45 317.56191761327375 317.56191761327375 0 0
46 143.05709278183124 143.05709278183124 0 1
47 207.3576858511088 207.3576858511088 0 1
48 338.48604912336504 338.48604912336504 0.6387837967213841 1
49 57.430380652330356 57.430380652330356 0 0
