The sequence of nodes visited by the vehicle:
set vehicleNodes :=
0    44   7    16   33   21   4    20   27   42   2    49   8    24
15   47   10   12   13   31   19   3    28   17   9    36   43   38;

The sequence of nodes visited by the drone:
set dronedNodes :=
0    23   7    35   12   29   21   25   20   41   42   14   9    1    38
5    47   18   16   46   13   11   19   39   27   22   2    26   8    40
44   48   10   34   33   6    31   45   3    32   17   37   36   30;

The 3-tuple cycles in which the drone was involved:
set droneCycles := ; # empty

The node and associated arrival time, departure time, vehicle idle time, and assignment associated with that node:
0 429.02443118904847 429.02443118904847 1.0876299572572634 1
1 346.928885867132 346.928885867132 0 0
2 313.5221951736429 313.5221951736429 0 1
3 228.22728875600012 228.22728875600012 0 1
4 189.76830699515045 189.76830699515045 0 1
5 15.055999748795209 15.055999748795209 0 0
6 164.24589732589092 164.24589732589092 0 0
7 66.41462903892572 66.41462903892572 0.8666426223728934 1
8 357.04076007521036 357.04076007521036 1.4503289557117682 1
9 327.66433079737385 327.66433079737385 0 1
10 87.50965214865471 87.50965214865471 0 1
11 177.06742986965477 177.06742986965477 0 0
12 119.55501316584197 119.55501316584197 0 1
13 160.89179535964124 160.89179535964124 0.1265814619223704 1
14 302.69643815919983 302.69643815919983 0 0
15 7.5230020220520375 7.5230020220520375 0 1
16 108.50965214865471 108.50965214865471 0 1
17 292.49839913201424 292.49839913201424 0 1
18 76.42712123617612 76.42712123617612 0 0
19 195.15921219326765 195.15921219326765 1.2677995724995412 1
20 217.18192773881287 217.18192773881287 0 1
21 170.26669461528707 170.26669461528707 3.0503439353090585 1
22 277.1772718693753 277.1772718693753 0 0
23 42.23124594152584 42.23124594152584 0 0
24 393.8321819206924 393.8321819206924 0 1
25 189.56904224951816 189.56904224951816 0 0
26 331.7874364229915 331.7874364229915 0 0
27 245.02167110258517 245.02167110258517 0.1510653694918176 1
28 255.79200071685418 255.79200071685418 0 1
29 149.88043758686862 149.88043758686862 0 0
30 372.3786217253883 372.3786217253883 0 0
31 182.76830699515045 182.76830699515045 0.29505676412969706 1
32 260.65017071067297 260.65017071067297 0 0
33 142.38043758686862 142.38043758686862 0 1
34 114.87361317933363 114.87361317933363 0 0
35 94.89206367877141 94.89206367877141 0 0
36 340.82560805926516 340.82560805926516 0 1
37 316.563576438792 316.563576438792 0 0
38 417.5387211029518 417.5387211029518 0 1
39 220.78747901427687 220.78747901427687 0 0
40 422.85379400931913 422.85379400931913 0 0
41 236.28954650429867 236.28954650429867 0 0
42 270.6580694641727 270.6580694641727 0 1
43 363.74896400770973 363.74896400770973 0 1
44 32.52300202205204 32.52300202205204 0 1
45 204.86745611274145 204.86745611274145 0 0
46 127.61727091414052 127.61727091414052 0 0
47 52.54798641655283 52.54798641655283 0 1
48 58.138156360302304 58.138156360302304 0 0
49 332.76335031096664 332.76335031096664 0 1
